stock,stock_close,stock_index,date,index,close,ind_index
AAPL,.609375,100,1980-12-01,GSPC,135.75999,100
AAPL,.50446397,82.783829,1981-01-01,GSPC,129.55,95.425758
AAPL,.473214,77.655632,1981-02-01,GSPC,131.27,96.692703
AAPL,.4375,71.794868,1981-03-01,GSPC,136,100.17679
AAPL,.50669599,83.150108,1981-04-01,GSPC,132.81,97.827049
AAPL,.59151798,97.069618,1981-05-01,GSPC,132.59,97.665001
AAPL,.464286,76.190521,1981-06-01,GSPC,131.21001,96.648506
AAPL,.44642901,73.260147,1981-07-01,GSPC,130.92,96.434891
AAPL,.359375,58.974358,1981-08-01,GSPC,122.79,90.446381
AAPL,.27232099,44.688572,1981-09-01,GSPC,116.18,85.577492
AAPL,.35714301,58.608086,1981-10-01,GSPC,121.89,89.783447
AAPL,.332589,54.578709,1981-11-01,GSPC,126.35,93.068657
AAPL,.395089,64.835121,1981-12-01,GSPC,122.55,90.2696
AAPL,.363839,59.706913,1982-01-01,GSPC,120.4,88.685921
AAPL,.32589301,53.479877,1982-02-01,GSPC,113.11,83.316147
AAPL,.301339,49.450504,1982-03-01,GSPC,111.96,82.469063
AAPL,.26339301,43.223469,1982-04-01,GSPC,116.44,85.769012
AAPL,.25,41.025642,1982-05-01,GSPC,111.88,82.410133
AAPL,.227679,37.362709,1982-06-01,GSPC,109.61,80.738068
AAPL,.241071,39.560368,1982-07-01,GSPC,107.09,78.881851
AAPL,.32142901,52.747326,1982-08-01,GSPC,119.51,88.03035
AAPL,.32589301,53.479877,1982-09-01,GSPC,120.42,88.700653
AAPL,.453125,74.358971,1982-10-01,GSPC,133.72,98.497353
AAPL,.56919599,93.406517,1982-11-01,GSPC,138.53,102.04037
AAPL,.53348202,87.545769,1982-12-01,GSPC,140.64,103.59458
AAPL,.72991103,119.78027,1983-01-01,GSPC,145.3,107.02711
AAPL,.81473202,133.69962,1983-02-01,GSPC,148.06,109.06011
AAPL,.75446397,123.80947,1983-03-01,GSPC,152.96001,112.66943
AAPL,.90178603,147.9854,1983-04-01,GSPC,164.42999,121.11815
AAPL,1.03125,169.23077,1983-05-01,GSPC,162.39,119.6155
AAPL,.87276798,143.22346,1983-06-01,GSPC,167.64,123.48262
AAPL,.62276798,102.19782,1983-07-01,GSPC,162.56,119.74072
AAPL,.66517901,109.15759,1983-08-01,GSPC,164.39999,121.09605
AAPL,.41294599,67.765495,1983-09-01,GSPC,166.07001,122.32617
AAPL,.40401801,66.300392,1983-10-01,GSPC,163.55,120.46996
AAPL,.363839,59.706913,1983-11-01,GSPC,166.39999,122.56924
AAPL,.43526801,71.428596,1983-12-01,GSPC,164.92999,121.48644
AAPL,.441964,72.527428,1984-01-01,GSPC,163.41,120.36683
AAPL,.46875,76.92308,1984-02-01,GSPC,157.06,115.68945
AAPL,.441964,72.527428,1984-03-01,GSPC,159.17999,117.25103
AAPL,.56026798,91.941414,1984-04-01,GSPC,160.05,117.89188
AAPL,.52455401,86.080658,1984-05-01,GSPC,150.55,110.89423
AAPL,.473214,77.655632,1984-06-01,GSPC,153.17999,112.83147
AAPL,.45535699,74.72525,1984-07-01,GSPC,150.66,110.97526
AAPL,.473214,77.655632,1984-08-01,GSPC,166.67999,122.77548
AAPL,.448661,73.626419,1984-09-01,GSPC,166.10001,122.34827
AAPL,.44419599,72.8937,1984-10-01,GSPC,166.09,122.3409
