stock,stock_close,stock_index,date,index,close,ind_index
BA,.923868,100,1962-01-01,GSPC,68.839996,100
BA,.882716,95.545685,1962-02-01,GSPC,69.959999,101.62697
BA,.82510298,89.309616,1962-03-01,GSPC,69.550003,101.03139
BA,.74074101,80.17823,1962-04-01,GSPC,65.239998,94.770485
BA,.71193397,77.060143,1962-05-01,GSPC,59.630001,86.621155
BA,.67078203,72.605827,1962-06-01,GSPC,54.75,79.532249
BA,.67489702,73.051239,1962-07-01,GSPC,58.23,84.587456
BA,.66666698,72.160416,1962-08-01,GSPC,59.119999,85.880302
BA,.62551397,67.705986,1962-09-01,GSPC,56.27,81.740273
BA,.62963003,68.151512,1962-10-01,GSPC,56.52,82.103432
BA,.63991803,69.265091,1962-11-01,GSPC,62.259998,90.441605
BA,.61111099,66.147003,1962-12-01,GSPC,63.099998,91.661827
BA,.64403301,69.710503,1963-01-01,GSPC,66.199997,96.165024
BA,.62963003,68.151512,1963-02-01,GSPC,64.290001,93.39048
BA,.596708,64.588013,1963-03-01,GSPC,66.57,96.702507
BA,.60905302,65.924248,1963-04-01,GSPC,69.800003,101.39455
BA,.60493797,65.478828,1963-05-01,GSPC,70.800003,102.84719
BA,.58230501,63.029026,1963-06-01,GSPC,69.370003,100.76991
BA,.541152,58.5746,1963-07-01,GSPC,69.129997,100.42126
BA,.576132,62.360855,1963-08-01,GSPC,72.5,105.31668
BA,.55144,59.688179,1963-09-01,GSPC,71.699997,104.15456
BA,.55967098,60.579105,1963-10-01,GSPC,74.010002,107.51018
BA,.62963003,68.151512,1963-11-01,GSPC,73.230003,106.37711
BA,.59053499,63.919846,1963-12-01,GSPC,75.019997,108.97734
BA,.65432101,70.824081,1964-01-01,GSPC,77.040001,111.91169
BA,.693416,75.05574,1964-02-01,GSPC,77.800003,113.0157
BA,.72222197,78.173721,1964-03-01,GSPC,78.980003,114.72982
BA,.70576102,76.391975,1964-04-01,GSPC,79.459999,115.42709
BA,.80864203,87.527878,1964-05-01,GSPC,80.370003,116.74899
BA,.87448603,94.654869,1964-06-01,GSPC,81.690002,118.66648
BA,.91975302,99.554588,1964-07-01,GSPC,83.18,120.83092
BA,.99177003,107.34975,1964-08-01,GSPC,81.830002,118.86985
BA,1.104938,119.59912,1964-09-01,GSPC,84.18,122.28356
BA,1.006173,108.90874,1964-10-01,GSPC,84.860001,123.27136
BA,1.082304,117.1492,1964-11-01,GSPC,84.419998,122.63219
BA,1.133745,122.7172,1964-12-01,GSPC,84.75,123.11157
BA,1.088477,117.81738,1965-01-01,GSPC,87.559998,127.1935
BA,1.1172841,120.93546,1965-02-01,GSPC,87.43,127.00465
BA,1.032922,111.80407,1965-03-01,GSPC,86.160004,125.15981
BA,1.22428,132.51677,1965-04-01,GSPC,89.110001,129.4451
BA,1.201646,130.06685,1965-05-01,GSPC,88.419998,128.44276
BA,1.100823,119.15372,1965-06-01,GSPC,84.120003,122.19641
BA,1.269547,137.41649,1965-07-01,GSPC,85.25,123.83789
BA,1.3621401,147.43881,1965-08-01,GSPC,87.169998,126.62697
BA,1.646091,178.17383,1965-09-01,GSPC,89.959999,130.67984
BA,2.0349791,220.2673,1965-10-01,GSPC,92.419998,134.25334
BA,2.302469,249.22057,1965-11-01,GSPC,91.610001,133.07671
BA,2.1522629,232.96217,1965-12-01,GSPC,92.43,134.26787
BA,2.7448561,297.1048,1966-01-01,GSPC,92.879997,134.92155
BA,2.7530861,297.99561,1966-02-01,GSPC,91.220001,132.51018
BA,2.5288069,273.71951,1966-03-01,GSPC,89.230003,129.61942
BA,2.54321,275.2785,1966-04-01,GSPC,91.059998,132.27776
BA,2.2345681,241.87093,1966-05-01,GSPC,86.129997,125.11621
BA,2.366255,256.12479,1966-06-01,GSPC,84.739998,123.09704
BA,1.987654,215.14481,1966-07-01,GSPC,83.599998,121.44102
BA,1.777778,192.4277,1966-08-01,GSPC,77.099998,111.99884
BA,1.6790119,181.73721,1966-09-01,GSPC,76.559998,111.21441
BA,1.5967081,172.8286,1966-10-01,GSPC,80.199997,116.50204
BA,2.1069961,228.06245,1966-11-01,GSPC,80.449997,116.8652
BA,2.1604941,233.85312,1966-12-01,GSPC,80.330002,116.69089
