stock,stock_close,stock_index,date,index,close,ind_index
BAC,1.421875,100,1980-03-01,GSPC,102.09,100
BAC,1.6875,118.68132,1980-04-01,GSPC,106.29,104.11402
BAC,1.796875,126.37363,1980-05-01,GSPC,111.24,108.96268
BAC,1.84375,129.67033,1980-06-01,GSPC,114.24,111.90127
BAC,1.9375,136.26373,1980-07-01,GSPC,121.67,119.17916
BAC,1.890625,132.96703,1980-08-01,GSPC,122.38,119.87462
BAC,1.65625,116.48351,1980-09-01,GSPC,125.46,122.89157
BAC,1.640625,115.38461,1980-10-01,GSPC,127.47,124.86042
BAC,1.640625,115.38461,1980-11-01,GSPC,140.52,137.64326
BAC,1.6875,118.68132,1980-12-01,GSPC,135.75999,132.9807
BAC,1.6875,118.68132,1981-01-01,GSPC,129.55,126.89784
BAC,1.859375,130.76923,1981-02-01,GSPC,131.27,128.58263
BAC,2.0625,145.05495,1981-03-01,GSPC,136,133.21579
BAC,2.03125,142.85715,1981-04-01,GSPC,132.81,130.09109
BAC,1.90625,134.06593,1981-05-01,GSPC,132.59,129.8756
BAC,2.046875,143.95604,1981-06-01,GSPC,131.21001,128.52386
BAC,1.8125,127.47253,1981-07-01,GSPC,130.92,128.23979
BAC,1.6875,118.68132,1981-08-01,GSPC,122.79,120.27623
BAC,1.6875,118.68132,1981-09-01,GSPC,116.18,113.80155
BAC,1.796875,126.37363,1981-10-01,GSPC,121.89,119.39465
BAC,1.90625,134.06593,1981-11-01,GSPC,126.35,123.76335
BAC,1.859375,130.76923,1981-12-01,GSPC,122.55,120.04115
BAC,1.875,131.86813,1982-01-01,GSPC,120.4,117.93516
BAC,1.828125,128.57143,1982-02-01,GSPC,113.11,110.7944
BAC,1.71875,120.87912,1982-03-01,GSPC,111.96,109.66795
BAC,1.765625,124.17583,1982-04-01,GSPC,116.44,114.05623
BAC,1.65625,116.48351,1982-05-01,GSPC,111.88,109.58958
BAC,1.59375,112.08791,1982-06-01,GSPC,109.61,107.36605
BAC,1.5,105.49451,1982-07-01,GSPC,107.09,104.89764
BAC,1.65625,116.48351,1982-08-01,GSPC,119.51,117.06339
BAC,1.84375,129.67033,1982-09-01,GSPC,120.42,117.95475
BAC,2.4375,171.42857,1982-10-01,GSPC,133.72,130.98247
BAC,2.3125,162.63736,1982-11-01,GSPC,138.53,135.694
BAC,2.34375,164.83516,1982-12-01,GSPC,140.64,137.7608
BAC,2.4375,171.42857,1983-01-01,GSPC,145.3,142.32541
BAC,2.71875,191.20879,1983-02-01,GSPC,148.06,145.0289
BAC,2.9375,206.5934,1983-03-01,GSPC,152.96001,149.8286
BAC,3.25,228.57143,1983-04-01,GSPC,164.42999,161.06377
BAC,3.28125,230.76923,1983-05-01,GSPC,162.39,159.06554
BAC,3.28125,230.76923,1983-06-01,GSPC,167.64,164.20805
BAC,3.25,228.57143,1983-07-01,GSPC,162.56,159.23206
BAC,3.359375,236.26373,1983-08-01,GSPC,164.39999,161.03438
BAC,3.25,228.57143,1983-09-01,GSPC,166.07001,162.67021
BAC,2.984375,209.89011,1983-10-01,GSPC,163.55,160.2018
BAC,3.15625,221.97803,1983-11-01,GSPC,166.39999,162.99344
BAC,3.421875,240.65935,1983-12-01,GSPC,164.92999,161.55353
BAC,3.46875,243.95604,1984-01-01,GSPC,163.41,160.06465
BAC,3.203125,225.27472,1984-02-01,GSPC,157.06,153.84465
BAC,3.15625,221.97803,1984-03-01,GSPC,159.17999,155.92125
BAC,3.125,219.78021,1984-04-01,GSPC,160.05,156.77344
BAC,2.90625,204.3956,1984-05-01,GSPC,150.55,147.46793
BAC,3,210.98901,1984-06-01,GSPC,153.17999,150.04408
BAC,3.109375,218.68132,1984-07-01,GSPC,150.66,147.57568
BAC,3.59375,252.74725,1984-08-01,GSPC,166.67999,163.2677
BAC,3.71875,261.53845,1984-09-01,GSPC,166.10001,162.69958
BAC,4.140625,291.2088,1984-10-01,GSPC,166.09,162.68979
