name,close,index,date
BAC,1.421875,1,1980-03-01
Z_index,102.09,1,1980-03-01
BAC,1.6875,1.1868132,1980-04-01
Z_index,106.29,1.0411402,1980-04-01
BAC,1.796875,1.2637362,1980-05-01
Z_index,111.24,1.0896268,1980-05-01
BAC,1.84375,1.2967033,1980-06-01
Z_index,114.24,1.1190127,1980-06-01
BAC,1.9375,1.3626374,1980-07-01
Z_index,121.67,1.1917915,1980-07-01
BAC,1.890625,1.3296703,1980-08-01
Z_index,122.38,1.1987462,1980-08-01
BAC,1.65625,1.1648352,1980-09-01
Z_index,125.46,1.2289157,1980-09-01
BAC,1.640625,1.1538461,1980-10-01
Z_index,127.47,1.2486042,1980-10-01
BAC,1.640625,1.1538461,1980-11-01
Z_index,140.52,1.3764327,1980-11-01
BAC,1.6875,1.1868132,1980-12-01
Z_index,135.75999,1.329807,1980-12-01
BAC,1.6875,1.1868132,1981-01-01
Z_index,129.55,1.2689785,1981-01-01
BAC,1.859375,1.3076923,1981-02-01
Z_index,131.27,1.2858263,1981-02-01
BAC,2.0625,1.4505495,1981-03-01
Z_index,136,1.332158,1981-03-01
BAC,2.03125,1.4285715,1981-04-01
Z_index,132.81,1.3009109,1981-04-01
BAC,1.90625,1.3406594,1981-05-01
Z_index,132.59,1.298756,1981-05-01
BAC,2.046875,1.4395604,1981-06-01
Z_index,131.21001,1.2852386,1981-06-01
BAC,1.8125,1.2747253,1981-07-01
Z_index,130.92,1.2823979,1981-07-01
BAC,1.6875,1.1868132,1981-08-01
Z_index,122.79,1.2027624,1981-08-01
BAC,1.6875,1.1868132,1981-09-01
Z_index,116.18,1.1380155,1981-09-01
BAC,1.796875,1.2637362,1981-10-01
Z_index,121.89,1.1939466,1981-10-01
BAC,1.90625,1.3406594,1981-11-01
Z_index,126.35,1.2376335,1981-11-01
BAC,1.859375,1.3076923,1981-12-01
Z_index,122.55,1.2004114,1981-12-01
BAC,1.875,1.3186814,1982-01-01
Z_index,120.4,1.1793516,1982-01-01
BAC,1.828125,1.2857143,1982-02-01
Z_index,113.11,1.107944,1982-02-01
BAC,1.71875,1.2087913,1982-03-01
Z_index,111.96,1.0966794,1982-03-01
BAC,1.765625,1.2417582,1982-04-01
Z_index,116.44,1.1405623,1982-04-01
BAC,1.65625,1.1648352,1982-05-01
Z_index,111.88,1.0958958,1982-05-01
BAC,1.59375,1.1208792,1982-06-01
Z_index,109.61,1.0736605,1982-06-01
BAC,1.5,1.0549451,1982-07-01
Z_index,107.09,1.0489764,1982-07-01
BAC,1.65625,1.1648352,1982-08-01
Z_index,119.51,1.1706338,1982-08-01
BAC,1.84375,1.2967033,1982-09-01
Z_index,120.42,1.1795474,1982-09-01
BAC,2.4375,1.7142857,1982-10-01
Z_index,133.72,1.3098247,1982-10-01
BAC,2.3125,1.6263736,1982-11-01
Z_index,138.53,1.35694,1982-11-01
BAC,2.34375,1.6483517,1982-12-01
Z_index,140.64,1.3776081,1982-12-01
BAC,2.4375,1.7142857,1983-01-01
Z_index,145.3,1.423254,1983-01-01
BAC,2.71875,1.9120879,1983-02-01
Z_index,148.06,1.450289,1983-02-01
BAC,2.9375,2.0659342,1983-03-01
Z_index,152.96001,1.4982859,1983-03-01
BAC,3.25,2.2857144,1983-04-01
Z_index,164.42999,1.6106377,1983-04-01
BAC,3.28125,2.3076923,1983-05-01
Z_index,162.39,1.5906553,1983-05-01
BAC,3.28125,2.3076923,1983-06-01
Z_index,167.64,1.6420805,1983-06-01
