name,close,index,date
CAT,1.708333,1,1962-01-01
Z_index,68.839996,1,1962-01-01
CAT,1.682292,.98475647,1962-02-01
Z_index,69.959999,1.0162697,1962-02-01
CAT,1.703125,.9969514,1962-03-01
Z_index,69.550003,1.0103139,1962-03-01
CAT,1.479167,.86585402,1962-04-01
Z_index,65.239998,.94770485,1962-04-01
CAT,1.432292,.83841497,1962-05-01
Z_index,59.630001,.86621159,1962-05-01
CAT,1.328125,.77743918,1962-06-01
Z_index,54.75,.79532254,1962-06-01
CAT,1.322917,.77439058,1962-07-01
Z_index,58.23,.84587455,1962-07-01
CAT,1.463542,.85670769,1962-08-01
Z_index,59.119999,.85880303,1962-08-01
CAT,1.3125,.76829284,1962-09-01
Z_index,56.27,.81740272,1962-09-01
CAT,1.369792,.80182958,1962-10-01
Z_index,56.52,.82103431,1962-10-01
CAT,1.505208,.88109756,1962-11-01
Z_index,62.259998,.90441608,1962-11-01
CAT,1.557292,.91158575,1962-12-01
Z_index,63.099998,.91661829,1962-12-01
CAT,1.604167,.93902475,1963-01-01
Z_index,66.199997,.96165019,1963-01-01
CAT,1.458333,.8536585,1963-02-01
Z_index,64.290001,.93390477,1963-02-01
CAT,1.520833,.89024389,1963-03-01
Z_index,66.57,.96702504,1963-03-01
CAT,1.552083,.90853655,1963-04-01
Z_index,69.800003,1.0139455,1963-04-01
CAT,1.848958,1.0823171,1963-05-01
Z_index,70.800003,1.0284719,1963-05-01
CAT,1.796875,1.0518295,1963-06-01
Z_index,69.370003,1.0076991,1963-06-01
CAT,1.807292,1.0579273,1963-07-01
Z_index,69.129997,1.0042127,1963-07-01
CAT,1.869792,1.0945126,1963-08-01
Z_index,72.5,1.0531669,1963-08-01
CAT,1.802083,1.0548781,1963-09-01
Z_index,71.699997,1.0415456,1963-09-01
CAT,1.9375,1.1341466,1963-10-01
Z_index,74.010002,1.0751017,1963-10-01
CAT,1.963542,1.1493907,1963-11-01
Z_index,73.230003,1.0637711,1963-11-01
CAT,2,1.1707319,1963-12-01
Z_index,75.019997,1.0897734,1963-12-01
CAT,2.182292,1.2774395,1964-01-01
Z_index,77.040001,1.1191169,1964-01-01
CAT,2.260417,1.3231711,1964-02-01
Z_index,77.800003,1.130157,1964-02-01
CAT,2.5625,1.5000002,1964-03-01
Z_index,78.980003,1.1472982,1964-03-01
CAT,2.5,1.4634149,1964-04-01
Z_index,79.459999,1.1542708,1964-04-01
CAT,2.578125,1.5091466,1964-05-01
Z_index,80.370003,1.1674899,1964-05-01
CAT,2.734375,1.60061,1964-06-01
Z_index,81.690002,1.1866648,1964-06-01
CAT,2.875,1.6829271,1964-07-01
Z_index,83.18,1.2083092,1964-07-01
CAT,2.8125,1.6463418,1964-08-01
Z_index,81.830002,1.1886985,1964-08-01
CAT,2.958333,1.7317075,1964-09-01
Z_index,84.18,1.2228357,1964-09-01
CAT,3.145833,1.8414636,1964-10-01
Z_index,84.860001,1.2327136,1964-10-01
CAT,3.5,2.0487809,1964-11-01
Z_index,84.419998,1.2263219,1964-11-01
CAT,3.4375,2.0121956,1964-12-01
Z_index,84.75,1.2311157,1964-12-01
CAT,3.385417,1.9817079,1965-01-01
Z_index,87.559998,1.271935,1965-01-01
CAT,3.6875,2.1585369,1965-02-01
Z_index,87.43,1.2700466,1965-02-01
CAT,3.395833,1.987805,1965-03-01
Z_index,86.160004,1.251598,1965-03-01
CAT,3.8125,2.2317078,1965-04-01
Z_index,89.110001,1.294451,1965-04-01
CAT,3.6875,2.1585369,1965-05-01
Z_index,88.419998,1.2844276,1965-05-01
CAT,3.583333,2.0975611,1965-06-01
Z_index,84.120003,1.2219641,1965-06-01
CAT,3.4375,2.0121956,1965-07-01
Z_index,85.25,1.2383789,1965-07-01
CAT,3.65625,2.1402442,1965-08-01
Z_index,87.169998,1.2662697,1965-08-01
CAT,3.895833,2.280488,1965-09-01
Z_index,89.959999,1.3067985,1965-09-01
CAT,4.125,2.4146347,1965-10-01
Z_index,92.419998,1.3425335,1965-10-01
CAT,4.427083,2.5914638,1965-11-01
Z_index,91.610001,1.330767,1965-11-01
CAT,4.145833,2.4268296,1965-12-01
Z_index,92.43,1.3426788,1965-12-01
CAT,4.104167,2.4024396,1966-01-01
Z_index,92.879997,1.3492156,1966-01-01
CAT,3.802083,2.22561,1966-02-01
Z_index,91.220001,1.3251017,1966-02-01
CAT,3.885417,2.2743909,1966-03-01
Z_index,89.230003,1.2961942,1966-03-01
CAT,3.458333,2.0243905,1966-04-01
Z_index,91.059998,1.3227775,1966-04-01
CAT,3.5625,2.0853662,1966-05-01
Z_index,86.129997,1.2511622,1966-05-01
CAT,3.458333,2.0243905,1966-06-01
Z_index,84.739998,1.2309704,1966-06-01
CAT,3.09375,1.8109759,1966-07-01
Z_index,83.599998,1.2144103,1966-07-01
CAT,3,1.7560979,1966-08-01
Z_index,77.099998,1.1199884,1966-08-01
CAT,2.854167,1.6707323,1966-09-01
Z_index,76.559998,1.1121441,1966-09-01
CAT,2.916667,1.7073176,1966-10-01
Z_index,80.199997,1.1650203,1966-10-01
CAT,3.083333,1.8048782,1966-11-01
Z_index,80.449997,1.1686519,1966-11-01
CAT,2.916667,1.7073176,1966-12-01
Z_index,80.330002,1.1669089,1966-12-01
CAT,3.333333,1.9512197,1967-01-01
Z_index,86.610001,1.2581348,1967-01-01
CAT,3.020833,1.7682928,1967-02-01
Z_index,86.779999,1.2606044,1967-02-01
CAT,3.666667,2.146342,1967-03-01
Z_index,90.199997,1.3102847,1967-03-01
CAT,4.09375,2.3963418,1967-04-01
Z_index,94.010002,1.3656305,1967-04-01
CAT,3.770833,2.2073174,1967-05-01
Z_index,89.080002,1.2940152,1967-05-01
CAT,3.708333,2.170732,1967-06-01
Z_index,90.639999,1.3166764,1967-06-01
CAT,3.947917,2.3109763,1967-07-01
Z_index,94.75,1.3763801,1967-07-01
CAT,3.885417,2.2743909,1967-08-01
Z_index,93.639999,1.3602557,1967-08-01
CAT,3.958333,2.3170733,1967-09-01
Z_index,96.709999,1.4048519,1967-09-01
CAT,3.739583,2.1890247,1967-10-01
Z_index,93.300003,1.3553168,1967-10-01
CAT,3.5,2.0487809,1967-11-01
Z_index,94,1.3654853,1967-11-01
CAT,3.614583,2.1158538,1967-12-01
Z_index,96.470001,1.4013655,1967-12-01
CAT,3.302083,1.932927,1968-01-01
Z_index,92.239998,1.3399187,1968-01-01
CAT,3.0625,1.7926832,1968-02-01
Z_index,89.360001,1.2980826,1968-02-01
CAT,3.09375,1.8109759,1968-03-01
Z_index,90.199997,1.3102847,1968-03-01
CAT,3.541667,2.0731714,1968-04-01
Z_index,97.459999,1.4157467,1968-04-01
CAT,3.354167,1.9634151,1968-05-01
Z_index,98.68,1.4334689,1968-05-01
CAT,3.1875,1.865854,1968-06-01
Z_index,99.580002,1.4465429,1968-06-01
CAT,3.104167,1.8170737,1968-07-01
Z_index,97.739998,1.4198141,1968-07-01
CAT,3.541667,2.0731714,1968-08-01
Z_index,98.860001,1.4360838,1968-08-01
CAT,3.822917,2.2378054,1968-09-01
Z_index,102.67,1.4914294,1968-09-01
CAT,4,2.3414638,1968-10-01
Z_index,103.41,1.5021791,1968-10-01
CAT,3.989583,2.335366,1968-11-01
Z_index,108.37,1.5742302,1968-11-01
CAT,3.635417,2.1280494,1968-12-01
Z_index,103.86,1.508716,1968-12-01
CAT,3.916667,2.2926836,1969-01-01
Z_index,103.01,1.4963685,1969-01-01
CAT,3.760417,2.20122,1969-02-01
Z_index,98.129997,1.4254794,1969-02-01
CAT,4.145833,2.4268296,1969-03-01
Z_index,101.51,1.4745789,1969-03-01
CAT,4.34375,2.5426834,1969-04-01
Z_index,103.69,1.5062464,1969-04-01
CAT,4.46875,2.6158543,1969-05-01
Z_index,103.46,1.5029054,1969-05-01
CAT,4.208333,2.4634149,1969-06-01
Z_index,97.709999,1.4193783,1969-06-01
CAT,3.854167,2.2560983,1969-07-01
Z_index,91.830002,1.3339629,1969-07-01
CAT,3.84375,2.2500005,1969-08-01
Z_index,95.510002,1.3874202,1969-08-01
CAT,3.697917,2.1646347,1969-09-01
Z_index,93.120003,1.352702,1969-09-01
CAT,3.666667,2.146342,1969-10-01
Z_index,97.120003,1.4108077,1969-10-01
CAT,3.447917,2.0182931,1969-11-01
Z_index,93.809998,1.3627251,1969-11-01
CAT,3.541667,2.0731714,1969-12-01
Z_index,92.059998,1.3373039,1969-12-01
CAT,3.03125,1.7743906,1970-01-01
Z_index,85.019997,1.2350378,1970-01-01
CAT,3.3125,1.9390248,1970-02-01
Z_index,89.5,1.3001163,1970-02-01
CAT,3.65625,2.1402442,1970-03-01
Z_index,89.629997,1.3020047,1970-03-01
CAT,3.197917,1.8719517,1970-04-01
Z_index,81.519997,1.1841953,1970-04-01
CAT,2.916667,1.7073176,1970-05-01
Z_index,76.550003,1.1119989,1970-05-01
