stock,stock_close,stock_index,date,index,close,ind_index
CSCO,.080729,100,1990-02-01,GSPC,331.89001,100
CSCO,.081600003,101.07892,1990-03-01,GSPC,339.94,102.4255
CSCO,.082465,102.15041,1990-04-01,GSPC,330.79999,99.67157
CSCO,.085937999,106.45245,1990-05-01,GSPC,361.23001,108.84028
CSCO,.092014,113.97887,1990-06-01,GSPC,358.01999,107.87309
CSCO,.088541999,109.67805,1990-07-01,GSPC,356.14999,107.30965
CSCO,.085937999,106.45245,1990-08-01,GSPC,322.56,97.18882
CSCO,.078125,96.774391,1990-09-01,GSPC,306.04999,92.214279
CSCO,.102431,126.88253,1990-10-01,GSPC,304,91.596611
CSCO,.137153,169.8931,1990-11-01,GSPC,322.22,97.08638
CSCO,.155816,193.01118,1990-12-01,GSPC,330.22,99.496819
CSCO,.203125,251.61342,1991-01-01,GSPC,343.92999,103.6277
CSCO,.194444,240.86017,1991-02-01,GSPC,367.07001,110.59989
CSCO,.16927101,209.67807,1991-03-01,GSPC,375.22,113.05553
CSCO,.206597,255.91423,1991-04-01,GSPC,375.34,113.09168
CSCO,.223958,277.41953,1991-05-01,GSPC,389.82999,117.45758
CSCO,.211806,262.36667,1991-06-01,GSPC,371.16,111.83223
CSCO,.272569,337.63455,1991-07-01,GSPC,387.81,116.84895
CSCO,.31510401,390.32318,1991-08-01,GSPC,395.42999,119.14489
CSCO,.284722,352.68863,1991-09-01,GSPC,387.85999,116.86401
CSCO,.33854201,419.35614,1991-10-01,GSPC,392.45001,118.24701
CSCO,.34375,425.80734,1991-11-01,GSPC,375.22,113.05553
CSCO,.460069,569.89313,1991-12-01,GSPC,417.09,125.67115
CSCO,.52170098,646.23737,1992-01-01,GSPC,408.78,123.1673
CSCO,.56597197,701.07642,1992-02-01,GSPC,412.70001,124.34843
CSCO,.54861099,679.57117,1992-03-01,GSPC,403.69,121.63367
CSCO,.506944,627.95776,1992-04-01,GSPC,414.95001,125.02636
CSCO,.63541698,787.09882,1992-05-01,GSPC,415.35001,125.14688
CSCO,.65277803,808.60413,1992-06-01,GSPC,408.14001,122.97448
CSCO,.741319,918.28088,1992-07-01,GSPC,424.20999,127.81644
CSCO,.65104198,806.45367,1992-08-01,GSPC,414.03,124.74916
CSCO,.734375,909.67932,1992-09-01,GSPC,417.79999,125.88507
CSCO,.83333302,1032.2598,1992-10-01,GSPC,418.67999,126.15022
CSCO,1.0381939,1286.0236,1992-11-01,GSPC,431.35001,129.96776
CSCO,1.092014,1352.691,1992-12-01,GSPC,435.70999,131.28143
CSCO,1.229167,1522.5842,1993-01-01,GSPC,438.78,132.20645
CSCO,1.21875,1509.6805,1993-02-01,GSPC,443.38,133.59245
CSCO,1.2430561,1539.7887,1993-03-01,GSPC,451.67001,136.09027
CSCO,1.145833,1419.3574,1993-04-01,GSPC,440.19,132.63129
CSCO,1.5,1858.0684,1993-05-01,GSPC,450.19,135.64433
CSCO,1.520833,1883.8745,1993-06-01,GSPC,450.53,135.74678
CSCO,1.440972,1784.9496,1993-07-01,GSPC,448.13,135.02365
CSCO,1.326389,1643.0143,1993-08-01,GSPC,463.56,139.67278
CSCO,1.388889,1720.4337,1993-09-01,GSPC,458.92999,138.27774
CSCO,1.423611,1763.4445,1993-10-01,GSPC,467.82999,140.95935
CSCO,1.5625,1935.4879,1993-11-01,GSPC,461.79001,139.13947
CSCO,1.795139,2223.6606,1993-12-01,GSPC,466.45001,140.54355
CSCO,2.0138891,2494.6289,1994-01-01,GSPC,481.60999,145.11133
CSCO,2.0486109,2537.6394,1994-02-01,GSPC,467.14001,140.75145
CSCO,1.902778,2356.9944,1994-03-01,GSPC,445.76999,134.31256
CSCO,1.684028,2086.0261,1994-04-01,GSPC,450.91,135.86127
CSCO,1.375,1703.2294,1994-05-01,GSPC,456.5,137.54556
CSCO,1.298611,1608.6053,1994-06-01,GSPC,444.26999,133.86061
CSCO,1.166667,1445.1647,1994-07-01,GSPC,458.26001,138.07587
CSCO,1.378472,1707.53,1994-08-01,GSPC,475.48999,143.26733
CSCO,1.520833,1883.8745,1994-09-01,GSPC,462.70999,139.41667
CSCO,1.673611,2073.1226,1994-10-01,GSPC,472.35001,142.32124
CSCO,1.791667,2219.3599,1994-11-01,GSPC,453.69,136.6989
CSCO,1.951389,2417.2095,1994-12-01,GSPC,459.26999,138.38017
CSCO,1.854167,2296.7793,1995-01-01,GSPC,470.42001,141.73973
CSCO,1.875,2322.5854,1995-02-01,GSPC,487.39001,146.85287
