stock,stock_close,stock_index,date,index,close,ind_index
GOOG,50.85424,100,2004-08-01,GSPC,1104.24,100
GOOG,64.381264,126.59959,2004-09-01,GSPC,1114.58,100.93639
GOOG,94.704041,186.22644,2004-10-01,GSPC,1130.2,102.35094
GOOG,90.402023,177.76694,2004-11-01,GSPC,1173.8199,106.30116
GOOG,95.772095,188.32666,2004-12-01,GSPC,1211.92,109.75151
GOOG,97.177948,191.09114,2005-01-01,GSPC,1181.27,106.97584
GOOG,93.387604,183.63779,2005-02-01,GSPC,1203.6,108.99804
GOOG,89.671768,176.33096,2005-03-01,GSPC,1180.59,106.91425
GOOG,109.28918,214.90671,2005-04-01,GSPC,1156.85,104.76436
GOOG,137.73914,270.85083,2005-05-01,GSPC,1191.5,107.90227
GOOG,146.1246,287.34006,2005-06-01,GSPC,1191.33,107.88687
GOOG,142.95024,281.09799,2005-07-01,GSPC,1234.1801,111.76737
GOOG,142.07593,279.37872,2005-08-01,GSPC,1220.33,110.51311
GOOG,157.20752,309.13354,2005-09-01,GSPC,1228.8101,111.28107
GOOG,184.86761,363.52448,2005-10-01,GSPC,1207.01,109.30685
GOOG,201.14673,395.5358,2005-11-01,GSPC,1249.48,113.15294
GOOG,206.08958,405.25546,2005-12-01,GSPC,1248.29,113.04517
GOOG,214.93207,422.64334,2006-01-01,GSPC,1280.08,115.92407
GOOG,180.13837,354.22488,2006-02-01,GSPC,1280.66,115.9766
GOOG,193.73991,380.97101,2006-03-01,GSPC,1294.87,117.26346
GOOG,207.61963,408.26413,2006-04-01,GSPC,1310.61,118.68887
GOOG,184.70865,363.21188,2006-05-01,GSPC,1270.09,115.01938
GOOG,208.31015,409.62198,2006-06-01,GSPC,1270.2,115.02934
GOOG,192.05089,377.64969,2006-07-01,GSPC,1276.66,115.61436
GOOG,188.04196,369.76654,2006-08-01,GSPC,1303.8199,118.07397
GOOG,199.65146,392.59549,2006-09-01,GSPC,1335.85,120.97461
GOOG,236.65578,465.36096,2006-10-01,GSPC,1377.9399,124.78628
GOOG,240.83858,473.58603,2006-11-01,GSPC,1400.63,126.84109
GOOG,228.75218,449.81927,2006-12-01,GSPC,1418.3,128.44128
GOOG,249.12965,489.88965,2007-01-01,GSPC,1438.24,130.24706
GOOG,223.27283,439.04465,2007-02-01,GSPC,1406.8199,127.40165
GOOG,227.59969,447.55301,2007-03-01,GSPC,1420.86,128.67311
GOOG,234.16698,460.46695,2007-04-01,GSPC,1482.37,134.24347
GOOG,247.34625,486.38275,2007-05-01,GSPC,1530.62,138.61298
GOOG,259.66116,510.59885,2007-06-01,GSPC,1503.35,136.14342
GOOG,253.35219,498.19284,2007-07-01,GSPC,1455.27,131.78929
GOOG,255.96022,503.32129,2007-08-01,GSPC,1473.99,133.48457
GOOG,281.80215,554.13696,2007-09-01,GSPC,1526.75,138.26251
GOOG,351.21567,690.63202,2007-10-01,GSPC,1549.38,140.31189
GOOG,344.26093,676.95618,2007-11-01,GSPC,1481.14,134.13208
GOOG,343.50583,675.47137,2007-12-01,GSPC,1468.36,132.97472
GOOG,280.32675,551.23572,2008-01-01,GSPC,1378.55,124.84152
GOOG,234.06761,460.27158,2008-02-01,GSPC,1330.63,120.50188
GOOG,218.81184,430.27255,2008-03-01,GSPC,1322.7,119.78374
GOOG,285.28946,560.99445,2008-04-01,GSPC,1385.59,125.47906
GOOG,291.00726,572.23798,2008-05-01,GSPC,1400.38,126.81844
GOOG,261.50912,514.23267,2008-06-01,GSPC,1280,115.91683
GOOG,235.34431,462.78207,2008-07-01,GSPC,1267.38,114.77396
GOOG,230.1481,452.56424,2008-08-01,GSPC,1282.83,116.17311
GOOG,198.96591,391.24744,2008-09-01,GSPC,1166.36,105.62559
GOOG,178.51891,351.04034,2008-10-01,GSPC,968.75,87.730026
GOOG,145.53345,286.17761,2008-11-01,GSPC,896.23999,81.163513
GOOG,152.83098,300.5275,2008-12-01,GSPC,903.25,81.79834
GOOG,168.1712,330.6926,2009-01-01,GSPC,825.88,74.79171
GOOG,167.90295,330.1651,2009-02-01,GSPC,735.09003,66.569771
GOOG,172.90541,340.00195,2009-03-01,GSPC,797.87,72.255127
GOOG,196.70561,386.80276,2009-04-01,GSPC,872.81,79.041695
GOOG,207.26692,407.57059,2009-05-01,GSPC,919.14001,83.237343
GOOG,209.43285,411.82965,2009-06-01,GSPC,919.32001,83.253639
GOOG,220.09351,432.79282,2009-07-01,GSPC,987.47998,89.426208
GOOG,229.34334,450.98175,2009-08-01,GSPC,1020.62,92.427368
GOOG,246.32291,484.37042,2009-09-01,GSPC,1057.08,95.729187
GOOG,266.32779,523.70813,2009-10-01,GSPC,1036.1899,93.837387
GOOG,289.61633,569.50281,2009-11-01,GSPC,1095.63,99.220276
GOOG,307.98685,605.62665,2009-12-01,GSPC,1115.1,100.98348
GOOG,263.25775,517.6712,2010-01-01,GSPC,1073.87,97.249695
GOOG,261.69791,514.60388,2010-02-01,GSPC,1104.49,100.02264
GOOG,281.72763,553.99042,2010-03-01,GSPC,1169.4301,105.90361
GOOG,261.15146,513.52936,2010-04-01,GSPC,1186.6899,107.46667
GOOG,241.24593,474.38705,2010-05-01,GSPC,1089.41,98.656998
GOOG,221.03737,434.64883,2010-06-01,GSPC,1030.71,93.341118
GOOG,240.85844,473.62509,2010-07-01,GSPC,1101.6,99.760918
GOOG,223.55598,439.60147,2010-08-01,GSPC,1049.33,95.027344
GOOG,261.19617,513.61731,2010-09-01,GSPC,1141.2,103.34709
GOOG,304.86713,599.49207,2010-10-01,GSPC,1183.26,107.15605
GOOG,276.05951,542.8446,2010-11-01,GSPC,1180.55,106.91064
GOOG,295.06589,580.21887,2010-12-01,GSPC,1257.64,113.89191
GOOG,298.24023,586.46088,2011-01-01,GSPC,1286.12,116.47105
GOOG,304.71811,599.19904,2011-02-01,GSPC,1327.22,120.19307
GOOG,291.48416,573.17572,2011-03-01,GSPC,1325.83,120.06719
GOOG,270.29202,531.50342,2011-04-01,GSPC,1363.61,123.48856
GOOG,262.80072,516.77246,2011-05-01,GSPC,1345.2,121.82134
GOOG,251.55388,494.65665,2011-06-01,GSPC,1320.64,119.59719
