name,close,index,date
GOOG,50.85424,1,2004-08-01
Z_index,1104.24,1,2004-08-01
GOOG,64.381264,1.265996,2004-09-01
Z_index,1114.58,1.0093639,2004-09-01
GOOG,94.704041,1.8622644,2004-10-01
Z_index,1130.2,1.0235094,2004-10-01
GOOG,90.402023,1.7776693,2004-11-01
Z_index,1173.8199,1.0630116,2004-11-01
GOOG,95.772095,1.8832667,2004-12-01
Z_index,1211.92,1.0975151,2004-12-01
GOOG,97.177948,1.9109114,2005-01-01
Z_index,1181.27,1.0697584,2005-01-01
GOOG,93.387604,1.8363779,2005-02-01
Z_index,1203.6,1.0899805,2005-02-01
GOOG,89.671768,1.7633096,2005-03-01
Z_index,1180.59,1.0691426,2005-03-01
GOOG,109.28918,2.1490672,2005-04-01
Z_index,1156.85,1.0476437,2005-04-01
GOOG,137.73914,2.7085083,2005-05-01
Z_index,1191.5,1.0790226,2005-05-01
GOOG,146.1246,2.8734004,2005-06-01
Z_index,1191.33,1.0788687,2005-06-01
GOOG,142.95024,2.8109798,2005-07-01
Z_index,1234.1801,1.1176738,2005-07-01
GOOG,142.07593,2.7937872,2005-08-01
Z_index,1220.33,1.1051311,2005-08-01
GOOG,157.20752,3.0913355,2005-09-01
Z_index,1228.8101,1.1128107,2005-09-01
GOOG,184.86761,3.6352448,2005-10-01
Z_index,1207.01,1.0930686,2005-10-01
GOOG,201.14673,3.955358,2005-11-01
Z_index,1249.48,1.1315293,2005-11-01
GOOG,206.08958,4.0525546,2005-12-01
Z_index,1248.29,1.1304518,2005-12-01
GOOG,214.93207,4.2264338,2006-01-01
Z_index,1280.08,1.1592407,2006-01-01
GOOG,180.13837,3.5422487,2006-02-01
Z_index,1280.66,1.1597661,2006-02-01
GOOG,193.73991,3.80971,2006-03-01
Z_index,1294.87,1.1726346,2006-03-01
GOOG,207.61963,4.0826416,2006-04-01
Z_index,1310.61,1.1868887,2006-04-01
GOOG,184.70865,3.6321189,2006-05-01
Z_index,1270.09,1.1501938,2006-05-01
GOOG,208.31015,4.09622,2006-06-01
Z_index,1270.2,1.1502934,2006-06-01
GOOG,192.05089,3.7764971,2006-07-01
Z_index,1276.66,1.1561437,2006-07-01
GOOG,188.04196,3.6976652,2006-08-01
Z_index,1303.8199,1.1807396,2006-08-01
GOOG,199.65146,3.9259551,2006-09-01
Z_index,1335.85,1.209746,2006-09-01
GOOG,236.65578,4.6536093,2006-10-01
Z_index,1377.9399,1.2478627,2006-10-01
GOOG,240.83858,4.7358603,2006-11-01
Z_index,1400.63,1.2684109,2006-11-01
GOOG,228.75218,4.4981928,2006-12-01
Z_index,1418.3,1.2844129,2006-12-01
GOOG,249.12965,4.8988962,2007-01-01
Z_index,1438.24,1.3024704,2007-01-01
GOOG,223.27283,4.3904467,2007-02-01
Z_index,1406.8199,1.2740165,2007-02-01
GOOG,227.59969,4.4755301,2007-03-01
Z_index,1420.86,1.2867311,2007-03-01
GOOG,234.16698,4.6046696,2007-04-01
Z_index,1482.37,1.3424346,2007-04-01
GOOG,247.34625,4.8638277,2007-05-01
