stock,stock_close,stock_index,date,index,close,ind_index
INTC,.32161501,100,1980-03-01,GSPC,102.09,100
INTC,.31900999,99.190018,1980-04-01,GSPC,106.29,104.11402
INTC,.35416701,110.12142,1980-05-01,GSPC,111.24,108.96268
INTC,.342448,106.47762,1980-06-01,GSPC,114.24,111.90127
INTC,.44140601,137.2467,1980-07-01,GSPC,121.67,119.17916
INTC,.45572901,141.70016,1980-08-01,GSPC,122.38,119.87462
INTC,.46354201,144.12947,1980-09-01,GSPC,125.46,122.89157
INTC,.4375,136.03221,1980-10-01,GSPC,127.47,124.86042
INTC,.484375,150.60709,1980-11-01,GSPC,140.52,137.64326
INTC,.41927099,130.36424,1980-12-01,GSPC,135.75999,132.9807
INTC,.38802099,120.64766,1981-01-01,GSPC,129.55,126.89784
INTC,.36458299,113.36006,1981-02-01,GSPC,131.27,128.58263
INTC,.37760401,117.4087,1981-03-01,GSPC,136,133.21579
INTC,.39322901,122.267,1981-04-01,GSPC,132.81,130.09109
INTC,.42708299,132.79324,1981-05-01,GSPC,132.59,129.8756
INTC,.375,116.59904,1981-06-01,GSPC,131.21001,128.52386
INTC,.35156301,109.31175,1981-07-01,GSPC,130.92,128.23979
INTC,.29166701,90.688248,1981-08-01,GSPC,122.79,120.27623
INTC,.25260401,78.542358,1981-09-01,GSPC,116.18,113.80155
INTC,.296875,92.307571,1981-10-01,GSPC,121.89,119.39465
INTC,.26041701,80.971657,1981-11-01,GSPC,126.35,123.76335
INTC,.234375,72.874397,1981-12-01,GSPC,122.55,120.04115
INTC,.27083299,84.210304,1982-01-01,GSPC,120.4,117.93516
INTC,.265625,82.590981,1982-02-01,GSPC,113.11,110.7944
INTC,.29947901,93.117233,1982-03-01,GSPC,111.96,109.66795
INTC,.328125,102.02415,1982-04-01,GSPC,116.44,114.05623
INTC,.31510401,97.975533,1982-05-01,GSPC,111.88,109.58958
INTC,.32552099,101.21449,1982-06-01,GSPC,109.61,107.36605
INTC,.33593801,104.45346,1982-07-01,GSPC,107.09,104.89764
INTC,.38281301,119.02834,1982-08-01,GSPC,119.51,117.06339
INTC,.34114599,106.07278,1982-09-01,GSPC,120.42,117.95475
INTC,.38671899,120.24283,1982-10-01,GSPC,133.72,130.98247
INTC,.39843801,123.88663,1982-11-01,GSPC,138.53,135.694
INTC,.40364599,125.50596,1982-12-01,GSPC,140.64,137.7608
INTC,.44791701,139.27118,1983-01-01,GSPC,145.3,142.32541
INTC,.484375,150.60709,1983-02-01,GSPC,148.06,145.0289
INTC,.50260401,156.27504,1983-03-01,GSPC,152.96001,149.8286
INTC,.515625,160.32367,1983-04-01,GSPC,164.42999,161.06377
INTC,.59635401,185.4248,1983-05-01,GSPC,162.39,159.06554
INTC,.77604198,241.29532,1983-06-01,GSPC,167.64,164.20805
INTC,.83854198,260.72849,1983-07-01,GSPC,162.56,159.23206
INTC,.85416698,265.58679,1983-08-01,GSPC,164.39999,161.03438
INTC,.859375,267.20612,1983-09-01,GSPC,166.07001,162.67021
INTC,.78645802,244.534,1983-10-01,GSPC,163.55,160.2018
INTC,.86979198,270.4451,1983-11-01,GSPC,166.39999,162.99344
INTC,.875,272.06442,1983-12-01,GSPC,164.92999,161.55353
INTC,.765625,238.05637,1984-01-01,GSPC,163.41,160.06465
INTC,.77604198,241.29532,1984-02-01,GSPC,157.06,153.84465
INTC,.75,233.19807,1984-03-01,GSPC,159.17999,155.92125
INTC,.72916698,226.72044,1984-04-01,GSPC,160.05,156.77344
INTC,.64322901,199.99968,1984-05-01,GSPC,150.55,147.46793
INTC,.63020802,195.95107,1984-06-01,GSPC,153.17999,150.04408
INTC,.63541698,197.57069,1984-07-01,GSPC,150.66,147.57568
INTC,.75,233.19807,1984-08-01,GSPC,166.67999,163.2677
INTC,.64583302,200.80936,1984-09-01,GSPC,166.10001,162.69958
INTC,.578125,179.75685,1984-10-01,GSPC,166.09,162.68979
INTC,.59375,184.61514,1984-11-01,GSPC,163.58,160.23117
INTC,.58333302,181.37617,1984-12-01,GSPC,167.24001,163.81625
INTC,.640625,199.19002,1985-01-01,GSPC,179.63,175.95261
INTC,.58333302,181.37617,1985-02-01,GSPC,181.17999,177.47086
INTC,.578125,179.75685,1985-03-01,GSPC,180.66,176.96152
INTC,.57291698,178.13751,1985-04-01,GSPC,179.83,176.1485
INTC,.54947901,170.84993,1985-05-01,GSPC,189.55,185.66951
INTC,.54166698,168.42093,1985-06-01,GSPC,191.85001,187.92244
INTC,.58854198,182.9958,1985-07-01,GSPC,190.92,187.01146
INTC,.54166698,168.42093,1985-08-01,GSPC,188.63,184.76836
INTC,.53645802,166.8013,1985-09-01,GSPC,182.08,178.35245
INTC,.53125,165.18196,1985-10-01,GSPC,189.82001,185.93399
INTC,.59375,184.61514,1985-11-01,GSPC,202.17,198.03116
INTC,.609375,189.47343,1985-12-01,GSPC,211.28,206.95465
INTC,.58854198,182.9958,1986-01-01,GSPC,211.78,207.44441
INTC,.578125,179.75685,1986-02-01,GSPC,226.92,222.27448
INTC,.54166698,168.42093,1986-03-01,GSPC,238.89999,234.00922
INTC,.59375,184.61514,1986-04-01,GSPC,235.52,230.69841
INTC,.56770802,176.51788,1986-05-01,GSPC,247.35001,242.28624
INTC,.47916701,148.98776,1986-06-01,GSPC,250.84,245.70477
INTC,.38020799,118.21836,1986-07-01,GSPC,236.12,231.28612
INTC,.47916701,148.98776,1986-08-01,GSPC,252.92999,247.75198
INTC,.40625,126.31562,1986-09-01,GSPC,231.32001,226.5844
