name,close,index,date
INTC,.32161501,1,1980-03-01
Z_index,102.09,1,1980-03-01
INTC,.31900999,.99190021,1980-04-01
Z_index,106.29,1.0411402,1980-04-01
INTC,.35416701,1.1012142,1980-05-01
Z_index,111.24,1.0896268,1980-05-01
INTC,.342448,1.0647762,1980-06-01
Z_index,114.24,1.1190127,1980-06-01
INTC,.44140601,1.372467,1980-07-01
Z_index,121.67,1.1917915,1980-07-01
INTC,.45572901,1.4170017,1980-08-01
Z_index,122.38,1.1987462,1980-08-01
INTC,.46354201,1.4412947,1980-09-01
Z_index,125.46,1.2289157,1980-09-01
INTC,.4375,1.3603221,1980-10-01
Z_index,127.47,1.2486042,1980-10-01
INTC,.484375,1.5060709,1980-11-01
Z_index,140.52,1.3764327,1980-11-01
INTC,.41927099,1.3036425,1980-12-01
Z_index,135.75999,1.329807,1980-12-01
INTC,.38802099,1.2064766,1981-01-01
Z_index,129.55,1.2689785,1981-01-01
INTC,.36458299,1.1336006,1981-02-01
Z_index,131.27,1.2858263,1981-02-01
INTC,.37760401,1.174087,1981-03-01
Z_index,136,1.332158,1981-03-01
INTC,.39322901,1.22267,1981-04-01
Z_index,132.81,1.3009109,1981-04-01
INTC,.42708299,1.3279324,1981-05-01
Z_index,132.59,1.298756,1981-05-01
INTC,.375,1.1659904,1981-06-01
Z_index,131.21001,1.2852386,1981-06-01
INTC,.35156301,1.0931175,1981-07-01
Z_index,130.92,1.2823979,1981-07-01
INTC,.29166701,.90688246,1981-08-01
Z_index,122.79,1.2027624,1981-08-01
INTC,.25260401,.78542358,1981-09-01
Z_index,116.18,1.1380155,1981-09-01
INTC,.296875,.92307568,1981-10-01
Z_index,121.89,1.1939466,1981-10-01
INTC,.26041701,.80971658,1981-11-01
Z_index,126.35,1.2376335,1981-11-01
INTC,.234375,.72874397,1981-12-01
Z_index,122.55,1.2004114,1981-12-01
INTC,.27083299,.84210306,1982-01-01
Z_index,120.4,1.1793516,1982-01-01
INTC,.265625,.82590985,1982-02-01
Z_index,113.11,1.107944,1982-02-01
INTC,.29947901,.93117237,1982-03-01
Z_index,111.96,1.0966794,1982-03-01
INTC,.328125,1.0202416,1982-04-01
Z_index,116.44,1.1405623,1982-04-01
INTC,.31510401,.97975528,1982-05-01
Z_index,111.88,1.0958958,1982-05-01
INTC,.32552099,1.0121449,1982-06-01
Z_index,109.61,1.0736605,1982-06-01
INTC,.33593801,1.0445346,1982-07-01
Z_index,107.09,1.0489764,1982-07-01
INTC,.38281301,1.1902834,1982-08-01
Z_index,119.51,1.1706338,1982-08-01
INTC,.34114599,1.0607278,1982-09-01
Z_index,120.42,1.1795474,1982-09-01
INTC,.38671899,1.2024283,1982-10-01
Z_index,133.72,1.3098247,1982-10-01
INTC,.39843801,1.2388663,1982-11-01
Z_index,138.53,1.35694,1982-11-01
INTC,.40364599,1.2550596,1982-12-01
Z_index,140.64,1.3776081,1982-12-01
INTC,.44791701,1.3927118,1983-01-01
Z_index,145.3,1.423254,1983-01-01
INTC,.484375,1.5060709,1983-02-01
Z_index,148.06,1.450289,1983-02-01
INTC,.50260401,1.5627505,1983-03-01
Z_index,152.96001,1.4982859,1983-03-01
INTC,.515625,1.6032368,1983-04-01
Z_index,164.42999,1.6106377,1983-04-01
INTC,.59635401,1.854248,1983-05-01
Z_index,162.39,1.5906553,1983-05-01
INTC,.77604198,2.4129531,1983-06-01
Z_index,167.64,1.6420805,1983-06-01
INTC,.83854198,2.607285,1983-07-01
Z_index,162.56,1.5923206,1983-07-01
INTC,.85416698,2.6558678,1983-08-01
Z_index,164.39999,1.6103438,1983-08-01
INTC,.859375,2.6720612,1983-09-01
Z_index,166.07001,1.6267021,1983-09-01
INTC,.78645802,2.4453399,1983-10-01
Z_index,163.55,1.6020179,1983-10-01
INTC,.86979198,2.7044508,1983-11-01
Z_index,166.39999,1.6299343,1983-11-01
INTC,.875,2.7206442,1983-12-01
Z_index,164.92999,1.6155353,1983-12-01
INTC,.765625,2.3805637,1984-01-01
Z_index,163.41,1.6006466,1984-01-01
INTC,.77604198,2.4129531,1984-02-01
Z_index,157.06,1.5384465,1984-02-01
INTC,.75,2.3319807,1984-03-01
Z_index,159.17999,1.5592124,1984-03-01
INTC,.72916698,2.2672045,1984-04-01
Z_index,160.05,1.5677345,1984-04-01
INTC,.64322901,1.9999969,1984-05-01
Z_index,150.55,1.4746792,1984-05-01
INTC,.63020802,1.9595106,1984-06-01
Z_index,153.17999,1.5004407,1984-06-01
INTC,.63541698,1.9757068,1984-07-01
Z_index,150.66,1.4757568,1984-07-01
INTC,.75,2.3319807,1984-08-01
Z_index,166.67999,1.6326771,1984-08-01
INTC,.64583302,2.0080936,1984-09-01
Z_index,166.10001,1.6269959,1984-09-01
INTC,.578125,1.7975684,1984-10-01
Z_index,166.09,1.6268978,1984-10-01
