stock,stock_close,stock_index,date,index,close,ind_index
JPM,5.166667,100,1980-03-01,GSPC,102.09,100
JPM,5.4074068,104.65948,1980-04-01,GSPC,106.29,104.11402
JPM,5.7962961,112.18637,1980-05-01,GSPC,111.24,108.96268
JPM,5.9259262,114.69534,1980-06-01,GSPC,114.24,111.90127
JPM,6.2037039,120.07168,1980-07-01,GSPC,121.67,119.17916
JPM,6.0740738,117.56271,1980-08-01,GSPC,122.38,119.87462
JPM,5.8703699,113.62006,1980-09-01,GSPC,125.46,122.89157
JPM,6.0925932,117.92115,1980-10-01,GSPC,127.47,124.86042
JPM,5.833333,112.90321,1980-11-01,GSPC,140.52,137.64326
JPM,6.314815,122.22222,1980-12-01,GSPC,135.75999,132.9807
JPM,6.7962961,131.54121,1981-01-01,GSPC,129.55,126.89784
JPM,7.481482,144.80287,1981-02-01,GSPC,131.27,128.58263
JPM,7.8703699,152.32973,1981-03-01,GSPC,136,133.21579
JPM,8.0740738,156.27238,1981-04-01,GSPC,132.81,130.09109
JPM,8.5185184,164.87454,1981-05-01,GSPC,132.59,129.8756
JPM,8.5555553,165.59138,1981-06-01,GSPC,131.21001,128.52386
JPM,7.9259262,153.40501,1981-07-01,GSPC,130.92,128.23979
JPM,7.6481481,148.02866,1981-08-01,GSPC,122.79,120.27623
JPM,7.314815,141.57706,1981-09-01,GSPC,116.18,113.80155
JPM,8.2777777,160.21504,1981-10-01,GSPC,121.89,119.39465
JPM,8.2407408,159.4982,1981-11-01,GSPC,126.35,123.76335
JPM,8.0740738,156.27238,1981-12-01,GSPC,122.55,120.04115
JPM,7.4259262,143.7276,1982-01-01,GSPC,120.4,117.93516
JPM,8.1851854,158.42293,1982-02-01,GSPC,113.11,110.7944
JPM,7.481482,144.80287,1982-03-01,GSPC,111.96,109.66795
JPM,7.6388888,147.84946,1982-04-01,GSPC,116.44,114.05623
JPM,7.1111112,137.6344,1982-05-01,GSPC,111.88,109.58958
JPM,6.833333,132.25806,1982-06-01,GSPC,109.61,107.36605
JPM,6.166667,119.35484,1982-07-01,GSPC,107.09,104.89764
JPM,7.0555549,136.55911,1982-08-01,GSPC,119.51,117.06339
JPM,8.0277777,155.37633,1982-09-01,GSPC,120.42,117.95475
JPM,9.083333,175.80644,1982-10-01,GSPC,133.72,130.98247
JPM,9.3611107,181.18277,1982-11-01,GSPC,138.53,135.694
JPM,9,174.19354,1982-12-01,GSPC,140.64,137.7608
JPM,9.666667,187.09677,1983-01-01,GSPC,145.3,142.32541
JPM,9.916667,191.93549,1983-02-01,GSPC,148.06,145.0289
JPM,10.694445,206.98924,1983-03-01,GSPC,152.96001,149.8286
JPM,12.222222,236.55913,1983-04-01,GSPC,164.42999,161.06377
JPM,11.666667,225.80644,1983-05-01,GSPC,162.39,159.06554
JPM,10.555555,204.30106,1983-06-01,GSPC,167.64,164.20805
JPM,10.583333,204.83868,1983-07-01,GSPC,162.56,159.23206
JPM,10.472222,202.68816,1983-08-01,GSPC,164.39999,161.03438
JPM,9.1944447,177.95699,1983-09-01,GSPC,166.07001,162.67021
JPM,9.0277777,174.73117,1983-10-01,GSPC,163.55,160.2018
JPM,10.416667,201.6129,1983-11-01,GSPC,166.39999,162.99344
JPM,9.7777796,189.24733,1983-12-01,GSPC,164.92999,161.55353
JPM,11.222222,217.20428,1984-01-01,GSPC,163.41,160.06465
JPM,10.722222,207.52687,1984-02-01,GSPC,157.06,153.84465
JPM,10.083333,195.16127,1984-03-01,GSPC,159.17999,155.92125
JPM,10.541667,204.03226,1984-04-01,GSPC,160.05,156.77344
JPM,8.041667,155.64516,1984-05-01,GSPC,150.55,147.46793
JPM,8,154.8387,1984-06-01,GSPC,153.17999,150.04408
JPM,8.833333,170.96773,1984-07-01,GSPC,150.66,147.57568
JPM,9.166667,177.41936,1984-08-01,GSPC,166.67999,163.2677
JPM,10.166667,196.77419,1984-09-01,GSPC,166.10001,162.69958
JPM,10,193.54837,1984-10-01,GSPC,166.09,162.68979
JPM,10.708333,207.25804,1984-11-01,GSPC,163.58,160.23117
JPM,11.5,222.58063,1984-12-01,GSPC,167.24001,163.81625
JPM,12.5,241.93547,1985-01-01,GSPC,179.63,175.95261
JPM,13.125,254.03224,1985-02-01,GSPC,181.17999,177.47086
JPM,12.5,241.93547,1985-03-01,GSPC,180.66,176.96152
JPM,12.625,244.35483,1985-04-01,GSPC,179.83,176.1485
JPM,13.791667,266.93549,1985-05-01,GSPC,189.55,185.66951
JPM,13.75,266.12903,1985-06-01,GSPC,191.85001,187.92244
JPM,13.625,263.70966,1985-07-01,GSPC,190.92,187.01146
JPM,13.333333,258.06448,1985-08-01,GSPC,188.63,184.76836
JPM,11.166667,216.12903,1985-09-01,GSPC,182.08,178.35245
JPM,12.958333,250.80643,1985-10-01,GSPC,189.82001,185.93399
JPM,13.833333,267.74191,1985-11-01,GSPC,202.17,198.03116
JPM,15.125,292.74191,1985-12-01,GSPC,211.28,206.95465
JPM,14.75,285.48386,1986-01-01,GSPC,211.78,207.44441
JPM,16,309.6774,1986-02-01,GSPC,226.92,222.27448
JPM,18.208334,352.41934,1986-03-01,GSPC,238.89999,234.00922
JPM,17.75,343.54837,1986-04-01,GSPC,235.52,230.69841
JPM,17.791666,344.3548,1986-05-01,GSPC,247.35001,242.28624
JPM,17.083334,330.64514,1986-06-01,GSPC,250.84,245.70477
JPM,14.625,283.06448,1986-07-01,GSPC,236.12,231.28612
JPM,16.25,314.51611,1986-08-01,GSPC,252.92999,247.75198
JPM,14.458333,279.83868,1986-09-01,GSPC,231.32001,226.5844
JPM,14.625,283.06448,1986-10-01,GSPC,243.98,238.98521
JPM,14.833333,287.09674,1986-11-01,GSPC,249.22,244.11795
JPM,14.083333,272.58063,1986-12-01,GSPC,242.17,237.21227
JPM,15.625,302.41934,1987-01-01,GSPC,274.07999,268.46899
JPM,15.5,299.99997,1987-02-01,GSPC,284.20001,278.38184
JPM,14.583333,282.25803,1987-03-01,GSPC,291.70001,285.7283
JPM,14.166667,274.19354,1987-04-01,GSPC,288.35999,282.45667
JPM,14,270.96771,1987-05-01,GSPC,290.10001,284.16104
JPM,14,270.96771,1987-06-01,GSPC,304,297.77649
JPM,13.25,256.4516,1987-07-01,GSPC,318.66,312.13635
JPM,13.458333,260.48386,1987-08-01,GSPC,329.79999,323.04828
JPM,12.708333,245.96773,1987-09-01,GSPC,321.82999,315.24146
JPM,9,174.19354,1987-10-01,GSPC,251.78999,246.63533
JPM,8.583333,166.12901,1987-11-01,GSPC,230.3,225.58528
JPM,7.125,137.90321,1987-12-01,GSPC,247.08,242.02176
JPM,7.166667,138.70967,1988-01-01,GSPC,257.07001,251.80725
JPM,8.333333,161.29031,1988-02-01,GSPC,267.82001,262.33716
JPM,7.125,137.90321,1988-03-01,GSPC,258.89001,253.59
