name,close,index,date
JPM,5.166667,1,1980-03-01
Z_index,102.09,1,1980-03-01
JPM,5.4074068,1.0465949,1980-04-01
Z_index,106.29,1.0411402,1980-04-01
JPM,5.7962961,1.1218637,1980-05-01
Z_index,111.24,1.0896268,1980-05-01
JPM,5.9259262,1.1469533,1980-06-01
Z_index,114.24,1.1190127,1980-06-01
JPM,6.2037039,1.2007169,1980-07-01
Z_index,121.67,1.1917915,1980-07-01
JPM,6.0740738,1.1756271,1980-08-01
Z_index,122.38,1.1987462,1980-08-01
JPM,5.8703699,1.1362005,1980-09-01
Z_index,125.46,1.2289157,1980-09-01
JPM,6.0925932,1.1792115,1980-10-01
Z_index,127.47,1.2486042,1980-10-01
JPM,5.833333,1.1290321,1980-11-01
Z_index,140.52,1.3764327,1980-11-01
JPM,6.314815,1.2222222,1980-12-01
Z_index,135.75999,1.329807,1980-12-01
JPM,6.7962961,1.315412,1981-01-01
Z_index,129.55,1.2689785,1981-01-01
JPM,7.481482,1.4480287,1981-02-01
Z_index,131.27,1.2858263,1981-02-01
JPM,7.8703699,1.5232973,1981-03-01
Z_index,136,1.332158,1981-03-01
JPM,8.0740738,1.5627239,1981-04-01
Z_index,132.81,1.3009109,1981-04-01
JPM,8.5185184,1.6487454,1981-05-01
Z_index,132.59,1.298756,1981-05-01
JPM,8.5555553,1.6559138,1981-06-01
Z_index,131.21001,1.2852386,1981-06-01
JPM,7.9259262,1.5340501,1981-07-01
Z_index,130.92,1.2823979,1981-07-01
JPM,7.6481481,1.4802866,1981-08-01
Z_index,122.79,1.2027624,1981-08-01
JPM,7.314815,1.4157705,1981-09-01
Z_index,116.18,1.1380155,1981-09-01
JPM,8.2777777,1.6021504,1981-10-01
Z_index,121.89,1.1939466,1981-10-01
JPM,8.2407408,1.594982,1981-11-01
Z_index,126.35,1.2376335,1981-11-01
JPM,8.0740738,1.5627239,1981-12-01
Z_index,122.55,1.2004114,1981-12-01
JPM,7.4259262,1.437276,1982-01-01
Z_index,120.4,1.1793516,1982-01-01
JPM,8.1851854,1.5842294,1982-02-01
Z_index,113.11,1.107944,1982-02-01
JPM,7.481482,1.4480287,1982-03-01
Z_index,111.96,1.0966794,1982-03-01
JPM,7.6388888,1.4784945,1982-04-01
Z_index,116.44,1.1405623,1982-04-01
JPM,7.1111112,1.376344,1982-05-01
Z_index,111.88,1.0958958,1982-05-01
JPM,6.833333,1.3225805,1982-06-01
Z_index,109.61,1.0736605,1982-06-01
JPM,6.166667,1.1935483,1982-07-01
Z_index,107.09,1.0489764,1982-07-01
JPM,7.0555549,1.3655912,1982-08-01
Z_index,119.51,1.1706338,1982-08-01
JPM,8.0277777,1.5537633,1982-09-01
Z_index,120.42,1.1795474,1982-09-01
JPM,9.083333,1.7580644,1982-10-01
Z_index,133.72,1.3098247,1982-10-01
JPM,9.3611107,1.8118278,1982-11-01
Z_index,138.53,1.35694,1982-11-01
JPM,9,1.7419354,1982-12-01
Z_index,140.64,1.3776081,1982-12-01
JPM,9.666667,1.8709677,1983-01-01
Z_index,145.3,1.423254,1983-01-01
JPM,9.916667,1.9193548,1983-02-01
Z_index,148.06,1.450289,1983-02-01
JPM,10.694445,2.0698924,1983-03-01
Z_index,152.96001,1.4982859,1983-03-01
JPM,12.222222,2.3655913,1983-04-01
Z_index,164.42999,1.6106377,1983-04-01
JPM,11.666667,2.2580645,1983-05-01
Z_index,162.39,1.5906553,1983-05-01
JPM,10.555555,2.0430105,1983-06-01
Z_index,167.64,1.6420805,1983-06-01
JPM,10.583333,2.0483868,1983-07-01
Z_index,162.56,1.5923206,1983-07-01
JPM,10.472222,2.0268817,1983-08-01
Z_index,164.39999,1.6103438,1983-08-01
JPM,9.1944447,1.7795699,1983-09-01
Z_index,166.07001,1.6267021,1983-09-01
JPM,9.0277777,1.7473117,1983-10-01
Z_index,163.55,1.6020179,1983-10-01
JPM,10.416667,2.016129,1983-11-01
Z_index,166.39999,1.6299343,1983-11-01
JPM,9.7777796,1.8924733,1983-12-01
Z_index,164.92999,1.6155353,1983-12-01
JPM,11.222222,2.1720428,1984-01-01
Z_index,163.41,1.6006466,1984-01-01
JPM,10.722222,2.0752687,1984-02-01
Z_index,157.06,1.5384465,1984-02-01
JPM,10.083333,1.9516127,1984-03-01
Z_index,159.17999,1.5592124,1984-03-01
JPM,10.541667,2.0403225,1984-04-01
Z_index,160.05,1.5677345,1984-04-01
JPM,8.041667,1.5564516,1984-05-01
Z_index,150.55,1.4746792,1984-05-01
JPM,8,1.5483871,1984-06-01
Z_index,153.17999,1.5004407,1984-06-01
JPM,8.833333,1.7096772,1984-07-01
Z_index,150.66,1.4757568,1984-07-01
JPM,9.166667,1.7741935,1984-08-01
Z_index,166.67999,1.6326771,1984-08-01
JPM,10.166667,1.9677418,1984-09-01
Z_index,166.10001,1.6269959,1984-09-01
JPM,10,1.9354837,1984-10-01
Z_index,166.09,1.6268978,1984-10-01
JPM,10.708333,2.0725803,1984-11-01
Z_index,163.58,1.6023117,1984-11-01
JPM,11.5,2.2258062,1984-12-01
Z_index,167.24001,1.6381625,1984-12-01
JPM,12.5,2.4193547,1985-01-01
Z_index,179.63,1.759526,1985-01-01
JPM,13.125,2.5403225,1985-02-01
Z_index,181.17999,1.7747086,1985-02-01
JPM,12.5,2.4193547,1985-03-01
Z_index,180.66,1.7696152,1985-03-01
JPM,12.625,2.4435482,1985-04-01
Z_index,179.83,1.7614851,1985-04-01
JPM,13.791667,2.6693547,1985-05-01
Z_index,189.55,1.8566952,1985-05-01
JPM,13.75,2.6612902,1985-06-01
Z_index,191.85001,1.8792243,1985-06-01
JPM,13.625,2.6370966,1985-07-01
Z_index,190.92,1.8701147,1985-07-01
JPM,13.333333,2.5806448,1985-08-01
Z_index,188.63,1.8476835,1985-08-01
JPM,11.166667,2.1612902,1985-09-01
Z_index,182.08,1.7835244,1985-09-01
JPM,12.958333,2.5080643,1985-10-01
Z_index,189.82001,1.85934,1985-10-01
JPM,13.833333,2.6774192,1985-11-01
Z_index,202.17,1.9803115,1985-11-01
JPM,15.125,2.9274192,1985-12-01
Z_index,211.28,2.0695465,1985-12-01
JPM,14.75,2.8548386,1986-01-01
Z_index,211.78,2.0744443,1986-01-01
JPM,16,3.0967741,1986-02-01
Z_index,226.92,2.2227447,1986-02-01
JPM,18.208334,3.5241935,1986-03-01
Z_index,238.89999,2.3400922,1986-03-01
JPM,17.75,3.4354837,1986-04-01
Z_index,235.52,2.3069842,1986-04-01
JPM,17.791666,3.443548,1986-05-01
Z_index,247.35001,2.4228623,1986-05-01
JPM,17.083334,3.3064516,1986-06-01
Z_index,250.84,2.4570477,1986-06-01
JPM,14.625,2.8306451,1986-07-01
Z_index,236.12,2.3128612,1986-07-01
JPM,16.25,3.1451612,1986-08-01
Z_index,252.92999,2.4775198,1986-08-01
JPM,14.458333,2.7983868,1986-09-01
Z_index,231.32001,2.2658441,1986-09-01
JPM,14.625,2.8306451,1986-10-01
Z_index,243.98,2.389852,1986-10-01
JPM,14.833333,2.8709674,1986-11-01
Z_index,249.22,2.4411795,1986-11-01
JPM,14.083333,2.7258062,1986-12-01
Z_index,242.17,2.3721228,1986-12-01
JPM,15.625,3.0241933,1987-01-01
Z_index,274.07999,2.68469,1987-01-01
JPM,15.5,2.9999998,1987-02-01
Z_index,284.20001,2.7838185,1987-02-01
JPM,14.583333,2.8225803,1987-03-01
Z_index,291.70001,2.8572831,1987-03-01
JPM,14.166667,2.7419355,1987-04-01
Z_index,288.35999,2.8245666,1987-04-01
JPM,14,2.7096772,1987-05-01
Z_index,290.10001,2.8416104,1987-05-01
JPM,14,2.7096772,1987-06-01
Z_index,304,2.9777648,1987-06-01
JPM,13.25,2.5645161,1987-07-01
Z_index,318.66,3.1213636,1987-07-01
JPM,13.458333,2.6048384,1987-08-01
Z_index,329.79999,3.2304828,1987-08-01
JPM,12.708333,2.4596772,1987-09-01
Z_index,321.82999,3.1524146,1987-09-01
JPM,9,1.7419354,1987-10-01
Z_index,251.78999,2.4663532,1987-10-01
JPM,8.583333,1.6612902,1987-11-01
Z_index,230.3,2.2558527,1987-11-01
JPM,7.125,1.3790321,1987-12-01
Z_index,247.08,2.4202175,1987-12-01
JPM,7.166667,1.3870968,1988-01-01
Z_index,257.07001,2.5180724,1988-01-01
JPM,8.333333,1.6129031,1988-02-01
Z_index,267.82001,2.6233716,1988-02-01
JPM,7.125,1.3790321,1988-03-01
Z_index,258.89001,2.5358999,1988-03-01
JPM,8.208333,1.5887095,1988-04-01
Z_index,261.32999,2.5598001,1988-04-01
JPM,9.625,1.8629031,1988-05-01
Z_index,262.16,2.5679305,1988-05-01
JPM,10.208333,1.9758062,1988-06-01
Z_index,273.5,2.6790087,1988-06-01
JPM,10.458333,2.0241933,1988-07-01
Z_index,272.01999,2.6645117,1988-07-01
JPM,10.666667,2.0645161,1988-08-01
Z_index,261.51999,2.5616612,1988-08-01
JPM,10.666667,2.0645161,1988-09-01
Z_index,271.91,2.6634343,1988-09-01
JPM,10.625,2.0564516,1988-10-01
Z_index,278.97,2.732589,1988-10-01
JPM,11.125,2.1532257,1988-11-01
Z_index,273.70001,2.680968,1988-11-01
JPM,10.333333,1.9999998,1988-12-01
Z_index,277.72,2.720345,1988-12-01
JPM,10.833333,2.0967741,1989-01-01
Z_index,297.47,2.9138017,1989-01-01
JPM,10.416667,2.016129,1989-02-01
Z_index,288.85999,2.8294642,1989-02-01
JPM,12.041667,2.3306451,1989-03-01
Z_index,294.87,2.8883338,1989-03-01
JPM,12,2.3225806,1989-04-01
Z_index,309.64001,3.0330102,1989-04-01
JPM,11.791667,2.282258,1989-05-01
Z_index,320.51999,3.1395826,1989-05-01
JPM,11.958333,2.3145158,1989-06-01
Z_index,317.98001,3.1147029,1989-06-01
JPM,12.958333,2.5080643,1989-07-01
Z_index,346.07999,3.38995,1989-07-01
JPM,12.708333,2.4596772,1989-08-01
Z_index,351.45001,3.4425509,1989-08-01
JPM,13.625,2.6370966,1989-09-01
Z_index,349.14999,3.4200215,1989-09-01
JPM,11.208333,2.1693547,1989-10-01
Z_index,340.35999,3.333921,1989-10-01
JPM,10.583333,2.0483868,1989-11-01
Z_index,345.98999,3.3890686,1989-11-01
JPM,9.958333,1.9274192,1989-12-01
Z_index,353.39999,3.4616516,1989-12-01
JPM,8.583333,1.6612902,1990-01-01
Z_index,329.07999,3.2234304,1990-01-01
JPM,8.541667,1.6532258,1990-02-01
Z_index,331.89001,3.2509553,1990-02-01
JPM,7.791667,1.5080645,1990-03-01
Z_index,339.94,3.3298073,1990-03-01
JPM,7.791667,1.5080645,1990-04-01
Z_index,330.79999,3.2402782,1990-04-01
JPM,9.125,1.7661289,1990-05-01
Z_index,361.23001,3.5383487,1990-05-01
JPM,8.5,1.6451612,1990-06-01
Z_index,358.01999,3.5069058,1990-06-01
JPM,7.666667,1.483871,1990-07-01
Z_index,356.14999,3.4885886,1990-07-01
JPM,7.208333,1.3951612,1990-08-01
Z_index,322.56,3.1595652,1990-08-01
JPM,5.166667,1,1990-09-01
Z_index,306.04999,2.9978449,1990-09-01
JPM,3.375,.65322578,1990-10-01
Z_index,304,2.9777648,1990-10-01
JPM,3.791667,.73387098,1990-11-01
Z_index,322.22,3.1562347,1990-11-01
JPM,3.583333,.69354826,1990-12-01
Z_index,330.22,3.234597,1990-12-01
JPM,4.375,.84677416,1991-01-01
Z_index,343.92999,3.3688903,1991-01-01
JPM,5.5,1.0645161,1991-02-01
Z_index,367.07001,3.5955532,1991-02-01
JPM,5.791667,1.1209677,1991-03-01
Z_index,375.22,3.6753845,1991-03-01
JPM,6.833333,1.3225805,1991-04-01
Z_index,375.34,3.6765599,1991-04-01
JPM,7.125,1.3790321,1991-05-01
Z_index,389.82999,3.8184936,1991-05-01
JPM,7.125,1.3790321,1991-06-01
Z_index,371.16,3.6356158,1991-06-01
JPM,8.541667,1.6532258,1991-07-01
Z_index,387.81,3.7987072,1991-07-01
JPM,8.833333,1.7096772,1991-08-01
Z_index,395.42999,3.873347,1991-08-01
JPM,8.458333,1.6370966,1991-09-01
Z_index,387.85999,3.7991967,1991-09-01
JPM,8.25,1.5967741,1991-10-01
Z_index,392.45001,3.8441575,1991-10-01
JPM,7.041667,1.3629032,1991-11-01
Z_index,375.22,3.6753845,1991-11-01
JPM,7.083333,1.3709676,1991-12-01
Z_index,417.09,4.0855131,1991-12-01
JPM,9.333333,1.8064514,1992-01-01
Z_index,408.78,4.0041142,1992-01-01
JPM,11.208333,2.1693547,1992-02-01
Z_index,412.70001,4.0425119,1992-02-01
JPM,10.916667,2.1129031,1992-03-01
Z_index,403.69,3.9542563,1992-03-01
JPM,11.708333,2.2661288,1992-04-01
Z_index,414.95001,4.0645514,1992-04-01
JPM,12.166667,2.3548386,1992-05-01
Z_index,415.35001,4.068469,1992-05-01
JPM,12.375,2.3951612,1992-06-01
Z_index,408.14001,3.9978454,1992-06-01
JPM,11.625,2.2499998,1992-07-01
Z_index,424.20999,4.1552553,1992-07-01
JPM,10.833333,2.0967741,1992-08-01
Z_index,414.03,4.0555391,1992-08-01
JPM,10.875,2.1048386,1992-09-01
Z_index,417.79999,4.0924673,1992-09-01
JPM,11.458333,2.2177417,1992-10-01
Z_index,418.67999,4.1010876,1992-10-01
JPM,12.5,2.4193547,1992-11-01
Z_index,431.35001,4.2251935,1992-11-01
JPM,12.875,2.4919353,1992-12-01
Z_index,435.70999,4.2679009,1992-12-01
JPM,13.541667,2.6209676,1993-01-01
Z_index,438.78,4.2979727,1993-01-01
JPM,13.5,2.6129031,1993-02-01
Z_index,443.38,4.3430309,1993-02-01
JPM,13.458333,2.6048384,1993-03-01
Z_index,451.67001,4.4242339,1993-03-01
JPM,12.75,2.4677417,1993-04-01
Z_index,440.19,4.3117838,1993-04-01
JPM,12.791667,2.4758065,1993-05-01
Z_index,450.19,4.4097366,1993-05-01
JPM,13.625,2.6370966,1993-06-01
Z_index,450.53,4.4130669,1993-06-01
JPM,13.75,2.6612902,1993-07-01
Z_index,448.13,4.3895583,1993-07-01
JPM,13.541667,2.6209676,1993-08-01
Z_index,463.56,4.5406995,1993-08-01
JPM,15,2.9032257,1993-09-01
Z_index,458.92999,4.4953475,1993-09-01
JPM,13.375,2.5887096,1993-10-01
Z_index,467.82999,4.5825253,1993-10-01
JPM,12.833333,2.4838707,1993-11-01
Z_index,461.79001,4.5233622,1993-11-01
JPM,13.375,2.5887096,1993-12-01
Z_index,466.45001,4.5690079,1993-12-01
JPM,13.166667,2.5483871,1994-01-01
Z_index,481.60999,4.717504,1994-01-01
JPM,12.416667,2.4032257,1994-02-01
Z_index,467.14001,4.5757666,1994-02-01
JPM,12.125,2.3467741,1994-03-01
Z_index,445.76999,4.3664412,1994-03-01
