stock,stock_close,stock_index,date,index,close,ind_index
MCD,.3107,100,1970-01-01,GSPC,85.019997,100
MCD,.37139899,119.5362,1970-02-01,GSPC,89.5,105.26936
MCD,.33333299,107.28452,1970-03-01,GSPC,89.629997,105.42226
MCD,.300412,96.688766,1970-04-01,GSPC,81.519997,95.883324
MCD,.26749,86.092697,1970-05-01,GSPC,76.550003,90.037643
MCD,.27469099,88.410362,1970-06-01,GSPC,72.720001,85.532822
MCD,.298354,96.02639,1970-07-01,GSPC,78.050003,91.801933
MCD,.29218099,94.039581,1970-08-01,GSPC,81.519997,95.883324
MCD,.35390899,113.90698,1970-09-01,GSPC,84.300003,99.153145
MCD,.35082299,112.91374,1970-10-01,GSPC,83.25,97.918144
MCD,.356996,114.90055,1970-11-01,GSPC,87.199997,102.5641
MCD,.38168699,122.84743,1970-12-01,GSPC,92.150002,108.38627
MCD,.41975299,135.09912,1971-01-01,GSPC,95.879997,112.77347
MCD,.45679,147.01964,1971-02-01,GSPC,96.75,113.79676
MCD,.56378597,181.4567,1971-03-01,GSPC,100.31,117.98401
MCD,.617284,198.67525,1971-04-01,GSPC,103.95,122.26535
MCD,.65020603,209.27133,1971-05-01,GSPC,99.629997,117.1842
MCD,.73765397,237.41679,1971-06-01,GSPC,98.699997,116.09033
MCD,.66666698,214.56935,1971-07-01,GSPC,95.580002,112.42062
MCD,.72530901,233.44353,1971-08-01,GSPC,99.029999,116.47848
MCD,.76234603,245.36403,1971-09-01,GSPC,98.339996,115.6669
MCD,.76851898,247.35081,1971-10-01,GSPC,94.230003,110.83276
MCD,.82716,266.22464,1971-11-01,GSPC,93.989998,110.55046
MCD,.93518502,300.99292,1971-12-01,GSPC,102.09,120.07763
MCD,1.018519,327.8143,1972-01-01,GSPC,103.94,122.25359
MCD,1.114197,358.60864,1972-02-01,GSPC,106.57,125.34698
MCD,1.1944439,384.4364,1972-03-01,GSPC,107.2,126.08798
MCD,1.311728,422.18475,1972-04-01,GSPC,107.67,126.64079
MCD,1.447531,465.89346,1972-05-01,GSPC,109.53,128.82852
MCD,1.462963,470.86032,1972-06-01,GSPC,107.14,126.01741
MCD,1.425926,458.93982,1972-07-01,GSPC,107.39,126.31146
MCD,1.42284,457.94656,1972-08-01,GSPC,111.09,130.66338
MCD,1.388889,447.01929,1972-09-01,GSPC,110.55,130.02824
MCD,1.57716,507.61505,1972-10-01,GSPC,111.58,131.23972
MCD,1.626543,523.50922,1972-11-01,GSPC,116.67,137.22653
MCD,1.8827159,605.95941,1972-12-01,GSPC,118.05,138.84969
MCD,1.780864,573.17798,1973-01-01,GSPC,116.03,136.47377
MCD,1.583333,509.60187,1973-02-01,GSPC,111.68,131.35733
MCD,1.645062,529.4696,1973-03-01,GSPC,111.52,131.16914
MCD,1.466049,471.85355,1973-04-01,GSPC,106.97,125.81746
MCD,1.567901,504.63501,1973-05-01,GSPC,104.95,123.44154
MCD,1.410494,453.97296,1973-06-01,GSPC,104.26,122.62997
MCD,1.598765,514.56873,1973-07-01,GSPC,108.22,127.2877
MCD,1.6172841,520.52917,1973-08-01,GSPC,104.25,122.61821
MCD,1.734568,558.27747,1973-09-01,GSPC,108.43,127.53471
MCD,1.734568,558.27747,1973-10-01,GSPC,108.29,127.37003
MCD,1.243827,400.33054,1973-11-01,GSPC,95.959999,112.86756
MCD,1.407407,452.97943,1973-12-01,GSPC,97.550003,114.73772
MCD,1.339506,431.12521,1974-01-01,GSPC,96.57,113.58504
MCD,1.274691,410.26425,1974-02-01,GSPC,96.220001,113.17338
MCD,1.299383,418.21149,1974-03-01,GSPC,93.980003,110.5387
MCD,1.3209881,425.16513,1974-04-01,GSPC,90.309998,106.22207
MCD,1.345679,433.11203,1974-05-01,GSPC,87.279999,102.6582
