stock,stock_close,stock_index,date,index,close,ind_index
MMM,6.273438,100,1970-01-01,GSPC,85.019997,100
MMM,6.8125,108.59277,1970-02-01,GSPC,89.5,105.26936
MMM,6.53125,104.10958,1970-03-01,GSPC,89.629997,105.42226
MMM,5.859375,93.399742,1970-04-01,GSPC,81.519997,95.883324
MMM,5.28125,84.184303,1970-05-01,GSPC,76.550003,90.037643
MMM,4.71875,75.217926,1970-06-01,GSPC,72.720001,85.532822
MMM,5.046875,80.448311,1970-07-01,GSPC,78.050003,91.801933
MMM,5.492188,87.5467,1970-08-01,GSPC,81.519997,95.883324
MMM,5.523438,88.04483,1970-09-01,GSPC,84.300003,99.153145
MMM,5.53125,88.169357,1970-10-01,GSPC,83.25,97.918144
MMM,5.617188,89.53923,1970-11-01,GSPC,87.199997,102.5641
MMM,6.1875,98.630127,1970-12-01,GSPC,92.150002,108.38627
MMM,6.1875,98.630127,1971-01-01,GSPC,95.879997,112.77347
MMM,6.484375,103.36238,1971-02-01,GSPC,96.75,113.79676
MMM,7.046875,112.32876,1971-03-01,GSPC,100.31,117.98401
MMM,7.15625,114.07222,1971-04-01,GSPC,103.95,122.26535
MMM,7.125,113.57409,1971-05-01,GSPC,99.629997,117.1842
MMM,7.609375,121.29514,1971-06-01,GSPC,98.699997,116.09033
MMM,7.203125,114.81942,1971-07-01,GSPC,95.580002,112.42062
MMM,7.460938,118.92902,1971-08-01,GSPC,99.029999,116.47848
MMM,7.648438,121.91781,1971-09-01,GSPC,98.339996,115.6669
MMM,7.5,119.55167,1971-10-01,GSPC,94.230003,110.83276
MMM,7.625,121.5442,1971-11-01,GSPC,93.989998,110.55046
MMM,8.4375,134.49564,1971-12-01,GSPC,102.09,120.07763
MMM,8.390625,133.74843,1972-01-01,GSPC,103.94,122.25359
MMM,8.796875,140.22415,1972-02-01,GSPC,106.57,125.34698
MMM,9.2109385,146.82442,1972-03-01,GSPC,107.2,126.08798
MMM,8.8125,140.47322,1972-04-01,GSPC,107.67,126.64079
MMM,9.5859385,152.802,1972-05-01,GSPC,109.53,128.82852
MMM,9.53125,151.93025,1972-06-01,GSPC,107.14,126.01741
MMM,10.3125,164.38354,1972-07-01,GSPC,107.39,126.31146
MMM,9.984375,159.15317,1972-08-01,GSPC,111.09,130.66338
MMM,9.984375,159.15317,1972-09-01,GSPC,110.55,130.02824
MMM,10.375,165.37981,1972-10-01,GSPC,111.58,131.23972
MMM,10.609375,169.1158,1972-11-01,GSPC,116.67,137.22653
MMM,10.703125,170.6102,1972-12-01,GSPC,118.05,138.84969
MMM,10.53125,167.87047,1973-01-01,GSPC,116.03,136.47377
MMM,10.125,161.39476,1973-02-01,GSPC,111.68,131.35733
MMM,10.5625,168.36861,1973-03-01,GSPC,111.52,131.16914
MMM,9.765625,155.66624,1973-04-01,GSPC,106.97,125.81746
MMM,10.34375,164.88168,1973-05-01,GSPC,104.95,123.44154
MMM,10.46875,166.87421,1973-06-01,GSPC,104.26,122.62997
MMM,10.6875,170.36113,1973-07-01,GSPC,108.22,127.2877
MMM,10.75,171.35739,1973-08-01,GSPC,104.25,122.61821
MMM,11.1875,178.33124,1973-09-01,GSPC,108.43,127.53471
MMM,10.8125,172.35367,1973-10-01,GSPC,108.29,127.37003
MMM,9.765625,155.66624,1973-11-01,GSPC,95.959999,112.86756
MMM,9.75,155.41718,1973-12-01,GSPC,97.550003,114.73772
MMM,9.5,151.43211,1974-01-01,GSPC,96.57,113.58504
MMM,9.59375,152.92651,1974-02-01,GSPC,96.220001,113.17338
MMM,9.28125,147.94519,1974-03-01,GSPC,93.980003,110.5387
MMM,8.9375,142.46574,1974-04-01,GSPC,90.309998,106.22207
MMM,8.828125,140.72227,1974-05-01,GSPC,87.279999,102.6582
MMM,9.1875,146.45081,1974-06-01,GSPC,86,101.15267
MMM,8.125,129.51431,1974-07-01,GSPC,79.309998,93.283936
MMM,7.5,119.55167,1974-08-01,GSPC,72.150002,84.862389
MMM,6.125,97.633865,1974-09-01,GSPC,63.540001,74.735359
MMM,7.703125,122.78953,1974-10-01,GSPC,73.900002,86.920731
MMM,6.59375,105.10584,1974-11-01,GSPC,69.970001,82.298286
MMM,5.765625,91.90535,1974-12-01,GSPC,68.559998,80.639847
MMM,5.75,91.656281,1975-01-01,GSPC,76.980003,90.543411
MMM,6.75,107.5965,1975-02-01,GSPC,81.589996,95.965652
MMM,6.375,101.61892,1975-03-01,GSPC,83.360001,98.047523
MMM,7.484375,119.3026,1975-04-01,GSPC,87.300003,102.68173
MMM,8.21875,131.00871,1975-05-01,GSPC,91.150002,107.21008
MMM,8.40625,133.9975,1975-06-01,GSPC,95.190002,111.9619
MMM,7.15625,114.07222,1975-07-01,GSPC,88.75,104.38721
MMM,6.890625,109.8381,1975-08-01,GSPC,86.879997,102.18772
MMM,6.375,101.61892,1975-09-01,GSPC,83.870003,98.647385
MMM,7.203125,114.81942,1975-10-01,GSPC,89.040001,104.7283
MMM,7.671875,122.2914,1975-11-01,GSPC,91.239998,107.31593
MMM,6.9375,110.5853,1975-12-01,GSPC,90.190002,106.08093
MMM,7.828125,124.78206,1976-01-01,GSPC,100.86,118.63091
MMM,7.15625,114.07222,1976-02-01,GSPC,99.709999,117.27829
MMM,8.015625,127.77085,1976-03-01,GSPC,102.77,120.87744
MMM,7.734375,123.28766,1976-04-01,GSPC,101.64,119.54835
MMM,6.875,109.58904,1976-05-01,GSPC,100.18,117.8311
MMM,6.953125,110.83437,1976-06-01,GSPC,104.28,122.6535
MMM,7.546875,120.29887,1976-07-01,GSPC,103.44,121.6655
MMM,7.734375,123.28766,1976-08-01,GSPC,102.91,121.04211
MMM,8.046875,128.26898,1976-09-01,GSPC,105.24,123.78264
MMM,7.53125,120.0498,1976-10-01,GSPC,102.9,121.03035
MMM,7.125,113.57409,1976-11-01,GSPC,102.1,120.08939
MMM,7.078125,112.82689,1976-12-01,GSPC,107.46,126.39379
MMM,6.3125,100.62266,1977-01-01,GSPC,102.03,120.00706
MMM,6.375,101.61892,1977-02-01,GSPC,99.82,117.40768
MMM,6.265625,99.875458,1977-03-01,GSPC,98.419998,115.761
MMM,6.0625,96.637604,1977-04-01,GSPC,98.440002,115.78453
MMM,6,95.641335,1977-05-01,GSPC,96.120003,113.05576
MMM,6.171875,98.381065,1977-06-01,GSPC,100.48,118.18397
MMM,6.265625,99.875458,1977-07-01,GSPC,98.849998,116.26676
MMM,6.515625,103.86051,1977-08-01,GSPC,96.769997,113.82027
MMM,6.328125,100.87173,1977-09-01,GSPC,96.529999,113.53799
MMM,6,95.641335,1977-10-01,GSPC,92.339996,108.60974
MMM,6.046875,96.388535,1977-11-01,GSPC,94.830002,111.53847
MMM,6.0625,96.637604,1977-12-01,GSPC,95.099998,111.85603
MMM,5.859375,93.399742,1978-01-01,GSPC,89.25,104.9753
