name,close,index,date
MMM,6.273438,1,1970-01-01
Z_index,85.019997,1,1970-01-01
MMM,6.8125,1.0859277,1970-02-01
Z_index,89.5,1.0526935,1970-02-01
MMM,6.53125,1.0410959,1970-03-01
Z_index,89.629997,1.0542226,1970-03-01
MMM,5.859375,.93399745,1970-04-01
Z_index,81.519997,.95883322,1970-04-01
MMM,5.28125,.84184301,1970-05-01
Z_index,76.550003,.90037644,1970-05-01
MMM,4.71875,.75217927,1970-06-01
Z_index,72.720001,.8553282,1970-06-01
MMM,5.046875,.80448312,1970-07-01
Z_index,78.050003,.91801935,1970-07-01
MMM,5.492188,.875467,1970-08-01
Z_index,81.519997,.95883322,1970-08-01
MMM,5.523438,.88044834,1970-09-01
Z_index,84.300003,.99153149,1970-09-01
MMM,5.53125,.8816936,1970-10-01
Z_index,83.25,.97918141,1970-10-01
MMM,5.617188,.8953923,1970-11-01
Z_index,87.199997,1.0256411,1970-11-01
MMM,6.1875,.9863013,1970-12-01
Z_index,92.150002,1.0838627,1970-12-01
MMM,6.1875,.9863013,1971-01-01
Z_index,95.879997,1.1277347,1971-01-01
MMM,6.484375,1.0336238,1971-02-01
Z_index,96.75,1.1379676,1971-02-01
MMM,7.046875,1.1232876,1971-03-01
Z_index,100.31,1.1798401,1971-03-01
MMM,7.15625,1.1407222,1971-04-01
Z_index,103.95,1.2226535,1971-04-01
MMM,7.125,1.1357409,1971-05-01
Z_index,99.629997,1.171842,1971-05-01
MMM,7.609375,1.2129513,1971-06-01
Z_index,98.699997,1.1609033,1971-06-01
MMM,7.203125,1.1481942,1971-07-01
Z_index,95.580002,1.1242062,1971-07-01
MMM,7.460938,1.1892902,1971-08-01
Z_index,99.029999,1.1647848,1971-08-01
MMM,7.648438,1.2191781,1971-09-01
Z_index,98.339996,1.156669,1971-09-01
MMM,7.5,1.1955167,1971-10-01
Z_index,94.230003,1.1083275,1971-10-01
MMM,7.625,1.2154419,1971-11-01
Z_index,93.989998,1.1055046,1971-11-01
MMM,8.4375,1.3449563,1971-12-01
Z_index,102.09,1.2007763,1971-12-01
MMM,8.390625,1.3374844,1972-01-01
Z_index,103.94,1.222536,1972-01-01
MMM,8.796875,1.4022415,1972-02-01
Z_index,106.57,1.2534698,1972-02-01
MMM,9.2109385,1.4682441,1972-03-01
Z_index,107.2,1.2608798,1972-03-01
MMM,8.8125,1.4047321,1972-04-01
Z_index,107.67,1.266408,1972-04-01
MMM,9.5859385,1.5280199,1972-05-01
Z_index,109.53,1.2882851,1972-05-01
MMM,9.53125,1.5193025,1972-06-01
Z_index,107.14,1.2601742,1972-06-01
MMM,10.3125,1.6438355,1972-07-01
Z_index,107.39,1.2631146,1972-07-01
MMM,9.984375,1.5915316,1972-08-01
Z_index,111.09,1.3066337,1972-08-01
MMM,9.984375,1.5915316,1972-09-01
Z_index,110.55,1.3002824,1972-09-01
MMM,10.375,1.6537981,1972-10-01
Z_index,111.58,1.3123971,1972-10-01
MMM,10.609375,1.6911581,1972-11-01
Z_index,116.67,1.3722653,1972-11-01
MMM,10.703125,1.706102,1972-12-01
Z_index,118.05,1.3884969,1972-12-01
MMM,10.53125,1.6787047,1973-01-01
Z_index,116.03,1.3647377,1973-01-01
MMM,10.125,1.6139476,1973-02-01
Z_index,111.68,1.3135734,1973-02-01
MMM,10.5625,1.683686,1973-03-01
Z_index,111.52,1.3116914,1973-03-01
MMM,9.765625,1.5566624,1973-04-01
Z_index,106.97,1.2581747,1973-04-01
MMM,10.34375,1.6488168,1973-05-01
Z_index,104.95,1.2344154,1973-05-01
MMM,10.46875,1.6687421,1973-06-01
Z_index,104.26,1.2262998,1973-06-01
MMM,10.6875,1.7036114,1973-07-01
Z_index,108.22,1.272877,1973-07-01
MMM,10.75,1.7135739,1973-08-01
Z_index,104.25,1.2261821,1973-08-01
MMM,11.1875,1.7833124,1973-09-01
Z_index,108.43,1.275347,1973-09-01
MMM,10.8125,1.7235366,1973-10-01
Z_index,108.29,1.2737004,1973-10-01
MMM,9.765625,1.5566624,1973-11-01
Z_index,95.959999,1.1286756,1973-11-01
MMM,9.75,1.5541717,1973-12-01
Z_index,97.550003,1.1473771,1973-12-01
MMM,9.5,1.5143212,1974-01-01
Z_index,96.57,1.1358504,1974-01-01
MMM,9.59375,1.5292652,1974-02-01
Z_index,96.220001,1.1317338,1974-02-01
MMM,9.28125,1.4794519,1974-03-01
Z_index,93.980003,1.1053871,1974-03-01
MMM,8.9375,1.4246575,1974-04-01
Z_index,90.309998,1.0622207,1974-04-01
MMM,8.828125,1.4072227,1974-05-01
Z_index,87.279999,1.026582,1974-05-01
MMM,9.1875,1.4645079,1974-06-01
Z_index,86,1.0115267,1974-06-01
MMM,8.125,1.2951431,1974-07-01
Z_index,79.309998,.93283933,1974-07-01
MMM,7.5,1.1955167,1974-08-01
Z_index,72.150002,.84862393,1974-08-01
MMM,6.125,.97633868,1974-09-01
Z_index,63.540001,.74735361,1974-09-01
MMM,7.703125,1.2278953,1974-10-01
Z_index,73.900002,.86920732,1974-10-01
MMM,6.59375,1.0510584,1974-11-01
Z_index,69.970001,.82298285,1974-11-01
MMM,5.765625,.91905349,1974-12-01
Z_index,68.559998,.80639851,1974-12-01
MMM,5.75,.9165628,1975-01-01
Z_index,76.980003,.90543407,1975-01-01
MMM,6.75,1.075965,1975-02-01
Z_index,81.589996,.95965654,1975-02-01
MMM,6.375,1.0161892,1975-03-01
Z_index,83.360001,.98047525,1975-03-01
MMM,7.484375,1.1930261,1975-04-01
Z_index,87.300003,1.0268173,1975-04-01
MMM,8.21875,1.3100871,1975-05-01
Z_index,91.150002,1.0721008,1975-05-01
MMM,8.40625,1.339975,1975-06-01
Z_index,95.190002,1.119619,1975-06-01
MMM,7.15625,1.1407222,1975-07-01
Z_index,88.75,1.0438721,1975-07-01
MMM,6.890625,1.098381,1975-08-01
Z_index,86.879997,1.0218772,1975-08-01
MMM,6.375,1.0161892,1975-09-01
Z_index,83.870003,.98647386,1975-09-01
MMM,7.203125,1.1481942,1975-10-01
Z_index,89.040001,1.0472831,1975-10-01
MMM,7.671875,1.222914,1975-11-01
Z_index,91.239998,1.0731592,1975-11-01
MMM,6.9375,1.105853,1975-12-01
Z_index,90.190002,1.0608093,1975-12-01
MMM,7.828125,1.2478206,1976-01-01
Z_index,100.86,1.1863091,1976-01-01
MMM,7.15625,1.1407222,1976-02-01
Z_index,99.709999,1.1727829,1976-02-01
MMM,8.015625,1.2777085,1976-03-01
Z_index,102.77,1.2087744,1976-03-01
MMM,7.734375,1.2328767,1976-04-01
Z_index,101.64,1.1954834,1976-04-01
MMM,6.875,1.0958903,1976-05-01
Z_index,100.18,1.178311,1976-05-01
MMM,6.953125,1.1083436,1976-06-01
Z_index,104.28,1.226535,1976-06-01
MMM,7.546875,1.2029887,1976-07-01
Z_index,103.44,1.216655,1976-07-01
MMM,7.734375,1.2328767,1976-08-01
Z_index,102.91,1.2104212,1976-08-01
MMM,8.046875,1.2826898,1976-09-01
Z_index,105.24,1.2378265,1976-09-01
MMM,7.53125,1.200498,1976-10-01
Z_index,102.9,1.2103035,1976-10-01
MMM,7.125,1.1357409,1976-11-01
Z_index,102.1,1.2008939,1976-11-01
MMM,7.078125,1.128269,1976-12-01
Z_index,107.46,1.263938,1976-12-01
MMM,6.3125,1.0062265,1977-01-01
Z_index,102.03,1.2000706,1977-01-01
MMM,6.375,1.0161892,1977-02-01
Z_index,99.82,1.1740767,1977-02-01
MMM,6.265625,.99875462,1977-03-01
Z_index,98.419998,1.1576099,1977-03-01
MMM,6.0625,.96637601,1977-04-01
Z_index,98.440002,1.1578453,1977-04-01
MMM,6,.95641339,1977-05-01
Z_index,96.120003,1.1305575,1977-05-01
MMM,6.171875,.98381066,1977-06-01
Z_index,100.48,1.1818397,1977-06-01
MMM,6.265625,.99875462,1977-07-01
Z_index,98.849998,1.1626676,1977-07-01
MMM,6.515625,1.0386051,1977-08-01
Z_index,96.769997,1.1382028,1977-08-01
MMM,6.328125,1.0087172,1977-09-01
Z_index,96.529999,1.1353799,1977-09-01
MMM,6,.95641339,1977-10-01
Z_index,92.339996,1.0860974,1977-10-01
MMM,6.046875,.96388537,1977-11-01
Z_index,94.830002,1.1153847,1977-11-01
MMM,6.0625,.96637601,1977-12-01
Z_index,95.099998,1.1185603,1977-12-01
MMM,5.859375,.93399745,1978-01-01
Z_index,89.25,1.0497531,1978-01-01
MMM,5.640625,.8991282,1978-02-01
Z_index,87.040001,1.0237591,1978-02-01
MMM,5.46875,.87173092,1978-03-01
Z_index,89.209999,1.0492826,1978-03-01
MMM,6.390625,1.0186799,1978-04-01
Z_index,96.830002,1.1389085,1978-04-01
MMM,6.671875,1.0635117,1978-05-01
Z_index,97.239998,1.1437309,1978-05-01
MMM,6.875,1.0958903,1978-06-01
Z_index,95.529999,1.123618,1978-06-01
MMM,7.46875,1.1905354,1978-07-01
Z_index,100.68,1.1841921,1978-07-01
MMM,7.75,1.2353673,1978-08-01
Z_index,103.29,1.2148907,1978-08-01
MMM,7.28125,1.1606475,1978-09-01
Z_index,102.54,1.2060692,1978-09-01
MMM,7.140625,1.1382315,1978-10-01
Z_index,93.150002,1.0956246,1978-10-01
MMM,7.421875,1.1830634,1978-11-01
Z_index,94.699997,1.1138556,1978-11-01
MMM,7.890625,1.2577832,1978-12-01
Z_index,96.110001,1.13044,1978-12-01
MMM,7.75,1.2353673,1979-01-01
Z_index,99.93,1.1753706,1979-01-01
MMM,7.046875,1.1232876,1979-02-01
Z_index,96.279999,1.1324395,1979-02-01
MMM,7.234375,1.1531755,1979-03-01
Z_index,101.59,1.1948953,1979-03-01
MMM,7,1.1158156,1979-04-01
Z_index,101.76,1.1968949,1979-04-01
MMM,6.921875,1.1033623,1979-05-01
Z_index,99.080002,1.165373,1979-05-01
MMM,7.046875,1.1232876,1979-06-01
