stock,stock_close,stock_index,date,index,close,ind_index
MSFT,.095486,100,1986-03-01,GSPC,238.89999,100
MSFT,.111979,117.27269,1986-04-01,GSPC,235.52,98.58519
MSFT,.121528,127.27311,1986-05-01,GSPC,247.35001,103.53705
MSFT,.106771,111.81849,1986-06-01,GSPC,250.84,104.99791
MSFT,.098958001,103.63614,1986-07-01,GSPC,236.12,98.836334
MSFT,.098958001,103.63614,1986-08-01,GSPC,252.92999,105.87275
MSFT,.09809,102.7271,1986-09-01,GSPC,231.32001,96.827133
MSFT,.13454901,140.90967,1986-10-01,GSPC,243.98,102.12641
MSFT,.17274299,180.90924,1986-11-01,GSPC,249.22,104.3198
MSFT,.16753501,175.45505,1986-12-01,GSPC,242.17,101.36877
MSFT,.25390601,265.90915,1987-01-01,GSPC,274.07999,114.72582
MSFT,.26649299,279.09116,1987-02-01,GSPC,284.20001,118.96191
MSFT,.33593801,351.81912,1987-03-01,GSPC,291.70001,122.1013
MSFT,.36111099,378.18213,1987-04-01,GSPC,288.35999,120.70322
MSFT,.40017399,419.0918,1987-05-01,GSPC,290.10001,121.43156
MSFT,.35416701,370.90988,1987-06-01,GSPC,304,127.2499
MSFT,.32638901,341.81873,1987-07-01,GSPC,318.66,133.38635
MSFT,.41232601,431.8183,1987-08-01,GSPC,329.79999,138.04939
MSFT,.460069,481.81827,1987-09-01,GSPC,321.82999,134.71327
MSFT,.34548599,361.81848,1987-10-01,GSPC,251.78999,105.39556
MSFT,.31076401,325.45505,1987-11-01,GSPC,230.3,96.400169
MSFT,.37673599,394.54578,1987-12-01,GSPC,247.08,103.42403
MSFT,.387153,405.45526,1988-01-01,GSPC,257.07001,107.6057
MSFT,.41232601,431.8183,1988-02-01,GSPC,267.82001,112.10549
MSFT,.39236099,410.90942,1988-03-01,GSPC,258.89001,108.36752
MSFT,.378472,396.36386,1988-04-01,GSPC,261.32999,109.38886
MSFT,.402778,421.81891,1988-05-01,GSPC,262.16,109.7363
MSFT,.465278,487.27353,1988-06-01,GSPC,273.5,114.48305
MSFT,.413194,432.72733,1988-07-01,GSPC,272.01999,113.86354
MSFT,.347222,363.63657,1988-08-01,GSPC,261.51999,109.46839
MSFT,.362847,380.00021,1988-09-01,GSPC,271.91,113.8175
MSFT,.340278,356.36429,1988-10-01,GSPC,278.97,116.77271
MSFT,.328125,343.63675,1988-11-01,GSPC,273.70001,114.56677
MSFT,.36979201,387.27353,1988-12-01,GSPC,277.72,116.24948
MSFT,.41406301,433.63739,1989-01-01,GSPC,297.47,124.51654
