name,close,index,date
BA,.923868,1,1962-01-01
CAT,1.708333,1,1962-01-01
IBM,7.226666,1,1962-01-01
S&P 500 Index,68.839996,1,1962-01-01
BA,.882716,.95545685,1962-02-01
CAT,1.682292,.98475647,1962-02-01
IBM,7.1599998,.99077499,1962-02-01
S&P 500 Index,69.959999,1.0162697,1962-02-01
BA,.82510298,.89309621,1962-03-01
CAT,1.703125,.9969514,1962-03-01
IBM,7.103333,.98293364,1962-03-01
S&P 500 Index,69.550003,1.0103139,1962-03-01
BA,.74074101,.80178231,1962-04-01
CAT,1.479167,.86585402,1962-04-01
IBM,6.0533328,.83763838,1962-04-01
S&P 500 Index,65.239998,.94770485,1962-04-01
BA,.71193397,.77060139,1962-05-01
CAT,1.432292,.83841497,1962-05-01
IBM,5.2333331,.72416979,1962-05-01
S&P 500 Index,59.630001,.86621159,1962-05-01
BA,.67078203,.7260583,1962-06-01
CAT,1.328125,.77743918,1962-06-01
IBM,4.523334,.62592268,1962-06-01
S&P 500 Index,54.75,.79532254,1962-06-01
BA,.67489702,.73051238,1962-07-01
CAT,1.322917,.77439058,1962-07-01
IBM,5.1599998,.71402216,1962-07-01
S&P 500 Index,58.23,.84587455,1962-07-01
BA,.66666698,.72160417,1962-08-01
CAT,1.463542,.85670769,1962-08-01
IBM,5.2833328,.73108858,1962-08-01
S&P 500 Index,59.119999,.85880303,1962-08-01
BA,.62551397,.67705989,1962-09-01
CAT,1.3125,.76829284,1962-09-01
IBM,4.7133331,.65221405,1962-09-01
S&P 500 Index,56.27,.81740272,1962-09-01
BA,.62963003,.68151516,1962-10-01
CAT,1.369792,.80182958,1962-10-01
IBM,4.6133332,.63837641,1962-10-01
S&P 500 Index,56.52,.82103431,1962-10-01
BA,.63991803,.69265091,1962-11-01
CAT,1.505208,.88109756,1962-11-01
IBM,5.313334,.73524004,1962-11-01
S&P 500 Index,62.259998,.90441608,1962-11-01
BA,.61111099,.66147,1962-12-01
CAT,1.557292,.91158575,1962-12-01
IBM,5.1999998,.71955723,1962-12-01
S&P 500 Index,63.099998,.91661829,1962-12-01
BA,.64403301,.69710499,1963-01-01
CAT,1.604167,.93902475,1963-01-01
IBM,5.6500001,.78182667,1963-01-01
S&P 500 Index,66.199997,.96165019,1963-01-01
BA,.62963003,.68151516,1963-02-01
CAT,1.458333,.8536585,1963-02-01
IBM,5.3299999,.73754621,1963-02-01
S&P 500 Index,64.290001,.93390477,1963-02-01
BA,.596708,.64588016,1963-03-01
CAT,1.520833,.89024389,1963-03-01
IBM,5.6133332,.77675283,1963-03-01
S&P 500 Index,66.57,.96702504,1963-03-01
BA,.60905302,.65924245,1963-04-01
CAT,1.552083,.90853655,1963-04-01
IBM,6.1833329,.85562736,1963-04-01
S&P 500 Index,69.800003,1.0139455,1963-04-01
BA,.60493797,.65478832,1963-05-01
CAT,1.848958,1.0823171,1963-05-01
IBM,6.3633332,.88053513,1963-05-01
S&P 500 Index,70.800003,1.0284719,1963-05-01
BA,.58230501,.63029027,1963-06-01
CAT,1.796875,1.0518295,1963-06-01
IBM,5.8166671,.80488944,1963-06-01
S&P 500 Index,69.370003,1.0076991,1963-06-01
BA,.541152,.58574599,1963-07-01
CAT,1.807292,1.0579273,1963-07-01
IBM,5.793334,.80166072,1963-07-01
S&P 500 Index,69.129997,1.0042127,1963-07-01
BA,.576132,.62360859,1963-08-01
CAT,1.869792,1.0945126,1963-08-01
IBM,5.9299998,.82057202,1963-08-01
S&P 500 Index,72.5,1.0531669,1963-08-01
BA,.55144,.59688181,1963-09-01
CAT,1.802083,1.0548781,1963-09-01
IBM,6.0266671,.83394849,1963-09-01
S&P 500 Index,71.699997,1.0415456,1963-09-01
BA,.55967098,.60579109,1963-10-01
CAT,1.9375,1.1341466,1963-10-01
IBM,6.5866671,.91143924,1963-10-01
S&P 500 Index,74.010002,1.0751017,1963-10-01
BA,.62963003,.68151516,1963-11-01
CAT,1.963542,1.1493907,1963-11-01
IBM,6.4699998,.89529526,1963-11-01
S&P 500 Index,73.230003,1.0637711,1963-11-01
BA,.59053499,.63919842,1963-12-01
CAT,2,1.1707319,1963-12-01
IBM,6.7600002,.93542445,1963-12-01
S&P 500 Index,75.019997,1.0897734,1963-12-01
BA,.65432101,.70824081,1964-01-01
CAT,2.182292,1.2774395,1964-01-01
IBM,7.226666,1,1964-01-01
S&P 500 Index,77.040001,1.1191169,1964-01-01
BA,.693416,.75055742,1964-02-01
CAT,2.260417,1.3231711,1964-02-01
IBM,7.5866671,1.0498157,1964-02-01
S&P 500 Index,77.800003,1.130157,1964-02-01
BA,.72222197,.78173721,1964-03-01
CAT,2.5625,1.5000002,1964-03-01
IBM,7.9233332,1.0964023,1964-03-01
S&P 500 Index,78.980003,1.1472982,1964-03-01
BA,.70576102,.76391977,1964-04-01
CAT,2.5,1.4634149,1964-04-01
IBM,7.603333,1.0521219,1964-04-01
S&P 500 Index,79.459999,1.1542708,1964-04-01
BA,.80864203,.87527877,1964-05-01
CAT,2.578125,1.5091466,1964-05-01
IBM,8,1.1070112,1964-05-01
S&P 500 Index,80.370003,1.1674899,1964-05-01
BA,.87448603,.9465487,1964-06-01
CAT,2.734375,1.60061,1964-06-01
IBM,7.9499998,1.1000923,1964-06-01
S&P 500 Index,81.690002,1.1866648,1964-06-01
BA,.91975302,.99554592,1964-07-01
CAT,2.875,1.6829271,1964-07-01
IBM,7.6999998,1.0654982,1964-07-01
S&P 500 Index,83.18,1.2083092,1964-07-01
BA,.99177003,1.0734975,1964-08-01
CAT,2.8125,1.6463418,1964-08-01
IBM,7.3416672,1.0159135,1964-08-01
S&P 500 Index,81.830002,1.1886985,1964-08-01
BA,1.104938,1.1959913,1964-09-01
CAT,2.958333,1.7317075,1964-09-01
IBM,7.2750001,1.0066884,1964-09-01
S&P 500 Index,84.18,1.2228357,1964-09-01
BA,1.006173,1.0890874,1964-10-01
CAT,3.145833,1.8414636,1964-10-01
IBM,7,.96863478,1964-10-01
S&P 500 Index,84.860001,1.2327136,1964-10-01
BA,1.082304,1.171492,1964-11-01
CAT,3.5,2.0487809,1964-11-01
IBM,6.875,.95133775,1964-11-01
S&P 500 Index,84.419998,1.2263219,1964-11-01
BA,1.133745,1.227172,1964-12-01
CAT,3.4375,2.0121956,1964-12-01
IBM,6.8249998,.94441891,1964-12-01
S&P 500 Index,84.75,1.2311157,1964-12-01
BA,1.088477,1.1781738,1965-01-01
CAT,3.385417,1.9817079,1965-01-01
IBM,7.4749999,1.0343635,1965-01-01
S&P 500 Index,87.559998,1.271935,1965-01-01
BA,1.1172841,1.2093546,1965-02-01
CAT,3.6875,2.1585369,1965-02-01
IBM,7.5958328,1.0510839,1965-02-01
S&P 500 Index,87.43,1.2700466,1965-02-01
BA,1.032922,1.1180407,1965-03-01
CAT,3.395833,1.987805,1965-03-01
IBM,7.5708332,1.0476246,1965-03-01
S&P 500 Index,86.160004,1.251598,1965-03-01
BA,1.22428,1.3251677,1965-04-01
CAT,3.8125,2.2317078,1965-04-01
IBM,8.083333,1.1185426,1965-04-01
S&P 500 Index,89.110001,1.294451,1965-04-01
BA,1.201646,1.3006685,1965-05-01
CAT,3.6875,2.1585369,1965-05-01
IBM,7.9666672,1.1023988,1965-05-01
S&P 500 Index,88.419998,1.2844276,1965-05-01
BA,1.100823,1.1915371,1965-06-01
CAT,3.583333,2.0975611,1965-06-01
IBM,7.6333332,1.0562731,1965-06-01
S&P 500 Index,84.120003,1.2219641,1965-06-01
BA,1.269547,1.3741649,1965-07-01
CAT,3.4375,2.0121956,1965-07-01
IBM,7.9833331,1.1047049,1965-07-01
S&P 500 Index,85.25,1.2383789,1965-07-01
BA,1.3621401,1.4743881,1965-08-01
CAT,3.65625,2.1402442,1965-08-01
IBM,8.3166666,1.1508304,1965-08-01
S&P 500 Index,87.169998,1.2662697,1965-08-01
BA,1.646091,1.7817383,1965-09-01
CAT,3.895833,2.280488,1965-09-01
IBM,8.541667,1.1819651,1965-09-01
S&P 500 Index,89.959999,1.3067985,1965-09-01
BA,2.0349791,2.202673,1965-10-01
CAT,4.125,2.4146347,1965-10-01
IBM,8.8833332,1.2292436,1965-10-01
S&P 500 Index,92.419998,1.3425335,1965-10-01
BA,2.302469,2.4922056,1965-11-01
CAT,4.427083,2.5914638,1965-11-01
IBM,8.75,1.2107935,1965-11-01
S&P 500 Index,91.610001,1.330767,1965-11-01
BA,2.1522629,2.3296218,1965-12-01
CAT,4.145833,2.4268296,1965-12-01
IBM,8.3166666,1.1508304,1965-12-01
S&P 500 Index,92.43,1.3426788,1965-12-01
BA,2.7448561,2.9710479,1966-01-01
CAT,4.104167,2.4024396,1966-01-01
IBM,8.2666664,1.1439115,1966-01-01
S&P 500 Index,92.879997,1.3492156,1966-01-01
BA,2.7530861,2.9799562,1966-02-01
CAT,3.802083,2.22561,1966-02-01
IBM,8.583333,1.1877307,1966-02-01
S&P 500 Index,91.220001,1.3251017,1966-02-01
BA,2.5288069,2.737195,1966-03-01
CAT,3.885417,2.2743909,1966-03-01
IBM,8.6000004,1.190037,1966-03-01
S&P 500 Index,89.230003,1.2961942,1966-03-01
BA,2.54321,2.752785,1966-04-01
CAT,3.458333,2.0243905,1966-04-01
IBM,9.291667,1.2857474,1966-04-01
S&P 500 Index,91.059998,1.3227775,1966-04-01
BA,2.2345681,2.4187093,1966-05-01
CAT,3.5625,2.0853662,1966-05-01
IBM,9.0687504,1.2549011,1966-05-01
S&P 500 Index,86.129997,1.2511622,1966-05-01
BA,2.366255,2.5612481,1966-06-01
CAT,3.458333,2.0243905,1966-06-01
IBM,8.7624998,1.2125231,1966-06-01
S&P 500 Index,84.739998,1.2309704,1966-06-01
BA,1.987654,2.151448,1966-07-01
CAT,3.09375,1.8109759,1966-07-01
IBM,8.5187502,1.1787939,1966-07-01
S&P 500 Index,83.599998,1.2144103,1966-07-01
BA,1.777778,1.9242771,1966-08-01
CAT,3,1.7560979,1966-08-01
IBM,8.0124998,1.1087408,1966-08-01
S&P 500 Index,77.099998,1.1199884,1966-08-01
BA,1.6790119,1.8173721,1966-09-01
CAT,2.854167,1.6707323,1966-09-01
IBM,7.9375,1.0983627,1966-09-01
S&P 500 Index,76.559998,1.1121441,1966-09-01
BA,1.5967081,1.7282859,1966-10-01
CAT,2.916667,1.7073176,1966-10-01
IBM,8.3000002,1.1485242,1966-10-01
S&P 500 Index,80.199997,1.1650203,1966-10-01
BA,2.1069961,2.2806246,1966-11-01
CAT,3.083333,1.8048782,1966-11-01
IBM,9.3999996,1.3007381,1966-11-01
S&P 500 Index,80.449997,1.1686519,1966-11-01
BA,2.1604941,2.3385313,1966-12-01
CAT,2.916667,1.7073176,1966-12-01
IBM,9.2875004,1.2851708,1966-12-01
S&P 500 Index,80.330002,1.1669089,1966-12-01
BA,2.3086419,2.4988873,1967-01-01
CAT,3.333333,1.9512197,1967-01-01
IBM,9.9875002,1.3820343,1967-01-01
S&P 500 Index,86.610001,1.2581348,1967-01-01
BA,2.4197531,2.6191545,1967-02-01
CAT,3.020833,1.7682928,1967-02-01
IBM,10.75,1.4875463,1967-02-01
S&P 500 Index,86.779999,1.2606044,1967-02-01
BA,2.716049,2.939867,1967-03-01
CAT,3.666667,2.146342,1967-03-01
IBM,11.275,1.5601938,1967-03-01
S&P 500 Index,90.199997,1.3102847,1967-03-01
BA,3.1481481,3.4075735,1967-04-01
CAT,4.09375,2.3963418,1967-04-01
IBM,12.4125,1.7175971,1967-04-01
S&P 500 Index,94.010002,1.3656305,1967-04-01
BA,3.0288069,3.2783978,1967-05-01
CAT,3.770833,2.2073174,1967-05-01
IBM,11.65625,1.6129498,1967-05-01
S&P 500 Index,89.080002,1.2940152,1967-05-01
BA,3.4403291,3.7238319,1967-06-01
CAT,3.708333,2.170732,1967-06-01
IBM,12.4375,1.7210565,1967-06-01
S&P 500 Index,90.639999,1.3166764,1967-06-01
BA,3.4320991,3.7149236,1967-07-01
CAT,3.947917,2.3109763,1967-07-01
IBM,12.69375,1.7565154,1967-07-01
S&P 500 Index,94.75,1.3763801,1967-07-01
BA,3.1604941,3.4209368,1967-08-01
CAT,3.885417,2.2743909,1967-08-01
IBM,12.49375,1.7288401,1967-08-01
S&P 500 Index,93.639999,1.3602557,1967-08-01
BA,2.855967,3.091315,1967-09-01
CAT,3.958333,2.3170733,1967-09-01
IBM,13.70625,1.8966215,1967-09-01
S&P 500 Index,96.709999,1.4048519,1967-09-01
BA,2.802469,3.0334084,1967-10-01
CAT,3.739583,2.1890247,1967-10-01
IBM,14.8375,2.0531597,1967-10-01
S&P 500 Index,93.300003,1.3553168,1967-10-01
BA,3.020576,3.2694888,1967-11-01
CAT,3.5,2.0487809,1967-11-01
IBM,15.3,2.1171589,1967-11-01
S&P 500 Index,94,1.3654853,1967-11-01
BA,2.979424,3.2249455,1967-12-01
CAT,3.614583,2.1158538,1967-12-01
IBM,15.675,2.16905,1967-12-01
S&P 500 Index,96.470001,1.4013655,1967-12-01
BA,2.5061729,2.7126958,1968-01-01
CAT,3.302083,1.932927,1968-01-01
IBM,14.8625,2.0566192,1968-01-01
S&P 500 Index,92.239998,1.3399187,1968-01-01
BA,2.4855969,2.6904242,1968-02-01
CAT,3.0625,1.7926832,1968-02-01
IBM,14.5,2.0064578,1968-02-01
S&P 500 Index,89.360001,1.2980826,1968-02-01
BA,2.2551439,2.4409807,1968-03-01
CAT,3.09375,1.8109759,1968-03-01
IBM,15.3125,2.1188886,1968-03-01
S&P 500 Index,90.199997,1.3102847,1968-03-01
BA,2.5555561,2.7661486,1968-04-01
CAT,3.541667,2.0731714,1968-04-01
IBM,16.9375,2.3437502,1968-04-01
S&P 500 Index,97.459999,1.4157467,1968-04-01
BA,2.2880659,2.4766157,1968-05-01
CAT,3.354167,1.9634151,1968-05-01
IBM,17.85,2.4700186,1968-05-01
S&P 500 Index,98.68,1.4334689,1968-05-01
BA,2.0905349,2.2628069,1968-06-01
CAT,3.1875,1.865854,1968-06-01
IBM,17.6875,2.4475324,1968-06-01
S&P 500 Index,99.580002,1.4465429,1968-06-01
BA,1.995885,2.1603572,1968-07-01
CAT,3.104167,1.8170737,1968-07-01
IBM,16.9375,2.3437502,1968-07-01
S&P 500 Index,97.739998,1.4198141,1968-07-01
BA,1.884774,2.0400901,1968-08-01
CAT,3.541667,2.0731714,1968-08-01
IBM,16.75,2.3178046,1968-08-01
S&P 500 Index,98.860001,1.4360838,1968-08-01
BA,1.8930039,2.0489984,1968-09-01
CAT,3.822917,2.2378054,1968-09-01
IBM,16.75,2.3178046,1968-09-01
S&P 500 Index,102.67,1.4914294,1968-09-01
BA,1.794239,1.9420946,1968-10-01
CAT,4,2.3414638,1968-10-01
IBM,15.35,2.1240778,1968-10-01
S&P 500 Index,103.41,1.5021791,1968-10-01
BA,1.954733,2.1158142,1968-11-01
CAT,3.989583,2.335366,1968-11-01
IBM,16.6875,2.3091562,1968-11-01
S&P 500 Index,108.37,1.5742302,1968-11-01
BA,1.8724281,2.0267267,1968-12-01
CAT,3.635417,2.1280494,1968-12-01
IBM,15.75,2.1794283,1968-12-01
S&P 500 Index,103.86,1.508716,1968-12-01
BA,1.942387,2.1024508,1969-01-01
CAT,3.916667,2.2926836,1969-01-01
IBM,14.8125,2.0497005,1969-01-01
S&P 500 Index,103.01,1.4963685,1969-01-01
BA,1.73251,1.8752787,1969-02-01
CAT,3.760417,2.20122,1969-02-01
IBM,14.66875,2.0298088,1969-02-01
S&P 500 Index,98.129997,1.4254794,1969-02-01
BA,1.674897,1.8129181,1969-03-01
CAT,4.145833,2.4268296,1969-03-01
IBM,15.7,2.1725094,1969-03-01
S&P 500 Index,101.51,1.4745789,1969-03-01
BA,1.5555561,1.6837428,1969-04-01
CAT,4.34375,2.5426834,1969-04-01
IBM,16.4,2.2693729,1969-04-01
S&P 500 Index,103.69,1.5062464,1969-04-01
BA,1.44856,1.5679296,1969-05-01
CAT,4.46875,2.6158543,1969-05-01
IBM,15.95,2.2071035,1969-05-01
S&P 500 Index,103.46,1.5029054,1969-05-01
BA,1.4032919,1.5189313,1969-06-01
CAT,4.208333,2.4634149,1969-06-01
IBM,16.887501,2.3368316,1969-06-01
S&P 500 Index,97.709999,1.4193783,1969-06-01
BA,1.1275719,1.2204903,1969-07-01
CAT,3.854167,2.2560983,1969-07-01
IBM,16.225,2.245157,1969-07-01
S&P 500 Index,91.830002,1.3339629,1969-07-01
BA,1.230453,1.3318493,1969-08-01
CAT,3.84375,2.2500005,1969-08-01
IBM,17.25,2.3869929,1969-08-01
S&P 500 Index,95.510002,1.3874202,1969-08-01
BA,1.045267,1.131403,1969-09-01
CAT,3.697917,2.1646347,1969-09-01
IBM,17.262501,2.3887227,1969-09-01
S&P 500 Index,93.120003,1.352702,1969-09-01
BA,1.045267,1.131403,1969-10-01
CAT,3.666667,2.146342,1969-10-01
IBM,18.025,2.4942346,1969-10-01
S&P 500 Index,97.120003,1.4108077,1969-10-01
BA,1.024691,1.1091313,1969-11-01
CAT,3.447917,2.0182931,1969-11-01
IBM,17.85,2.4700186,1969-11-01
S&P 500 Index,93.809998,1.3627251,1969-11-01
BA,.92592603,1.0022277,1969-12-01
CAT,3.541667,2.0731714,1969-12-01
IBM,18.225,2.52191,1969-12-01
S&P 500 Index,92.059998,1.3373039,1969-12-01
BA,.75720203,.81959981,1970-01-01
CAT,3.03125,1.7743906,1970-01-01
IBM,16.759375,2.3191018,1970-01-01
MCD,.3107,1,1970-01-01
MMM,6.273438,1,1970-01-01
S&P 500 Index,85.019997,1.2350378,1970-01-01
BA,.82304502,.8908686,1970-02-01
CAT,3.3125,1.9390248,1970-02-01
IBM,17.012501,2.3541286,1970-02-01
MCD,.37139899,1.1953621,1970-02-01
MMM,6.8125,1.0859277,1970-02-01
S&P 500 Index,89.5,1.3001163,1970-02-01
BA,.74897099,.81069046,1970-03-01
CAT,3.65625,2.1402442,1970-03-01
IBM,16.924999,2.3420205,1970-03-01
MCD,.33333299,1.0728451,1970-03-01
MMM,6.53125,1.0410959,1970-03-01
S&P 500 Index,89.629997,1.3020047,1970-03-01
BA,.65020603,.70378673,1970-04-01
CAT,3.197917,1.8719517,1970-04-01
IBM,14.9,2.0618083,1970-04-01
MCD,.300412,.96688765,1970-04-01
MMM,5.859375,.93399745,1970-04-01
S&P 500 Index,81.519997,1.1841953,1970-04-01
BA,.60082299,.65033424,1970-05-01
CAT,2.916667,1.7073176,1970-05-01
IBM,13.9,1.9234319,1970-05-01
MCD,.26749,.86092693,1970-05-01
MMM,5.28125,.84184301,1970-05-01
S&P 500 Index,76.550003,1.1119989,1970-05-01
BA,.41152301,.44543487,1970-06-01
CAT,2.885417,1.6890249,1970-06-01
IBM,12.5,1.729705,1970-06-01
MCD,.27469099,.8841036,1970-06-01
MMM,4.71875,.75217927,1970-06-01
S&P 500 Index,72.720001,1.0563626,1970-06-01
BA,.444444,.48106873,1970-07-01
CAT,2.729167,1.5975615,1970-07-01
IBM,12.6125,1.7452723,1970-07-01
MCD,.298354,.96026391,1970-07-01
MMM,5.046875,.80448312,1970-07-01
S&P 500 Index,78.050003,1.1337886,1970-07-01
BA,.530864,.57461023,1970-08-01
CAT,2.78125,1.6280491,1970-08-01
IBM,13.3125,1.8421358,1970-08-01
MCD,.29218099,.94039583,1970-08-01
MMM,5.492188,.875467,1970-08-01
S&P 500 Index,81.519997,1.1841953,1970-08-01
BA,.55967098,.60579109,1970-09-01
CAT,2.96875,1.7378052,1970-09-01
IBM,14.5875,2.0185657,1970-09-01
MCD,.35390899,1.1390698,1970-09-01
MMM,5.523438,.88044834,1970-09-01
S&P 500 Index,84.300003,1.2245789,1970-09-01
BA,.477366,.51670367,1970-10-01
CAT,2.875,1.6829271,1970-10-01
IBM,14.7,2.034133,1970-10-01
MCD,.35082299,1.1291374,1970-10-01
MMM,5.53125,.8816936,1970-10-01
S&P 500 Index,83.25,1.209326,1970-10-01
BA,.48148099,.52115774,1970-11-01
CAT,3.229167,1.8902445,1970-11-01
IBM,15.3625,2.1258075,1970-11-01
MCD,.356996,1.1490055,1970-11-01
MMM,5.617188,.8953923,1970-11-01
S&P 500 Index,87.199997,1.2667054,1970-11-01
BA,.469136,.50779551,1970-12-01
CAT,3.5625,2.0853662,1970-12-01
IBM,15.8875,2.1984551,1970-12-01
MCD,.38168699,1.2284744,1970-12-01
MMM,6.1875,.9863013,1970-12-01
S&P 500 Index,92.150002,1.3386114,1970-12-01
BA,.64197499,.69487739,1971-01-01
CAT,3.96875,2.3231711,1971-01-01
IBM,16.275,2.2520759,1971-01-01
MCD,.41975299,1.3509912,1971-01-01
MMM,6.1875,.9863013,1971-01-01
S&P 500 Index,95.879997,1.392795,1971-01-01
BA,.699588,.75723803,1971-02-01
CAT,3.90625,2.2865858,1971-02-01
IBM,16.825001,2.3281829,1971-02-01
MCD,.45679,1.4701964,1971-02-01
MMM,6.484375,1.0336238,1971-02-01
S&P 500 Index,96.75,1.4054329,1971-02-01
BA,.683128,.73942167,1971-03-01
CAT,3.96875,2.3231711,1971-03-01
IBM,17.875,2.4734781,1971-03-01
MCD,.56378597,1.814567,1971-03-01
MMM,7.046875,1.1232876,1971-03-01
S&P 500 Index,100.31,1.457147,1971-03-01
BA,.76954699,.83296204,1971-04-01
CAT,4.458333,2.6097565,1971-04-01
IBM,17.887501,2.4752078,1971-04-01
MCD,.617284,1.9867525,1971-04-01
MMM,7.15625,1.1407222,1971-04-01
S&P 500 Index,103.95,1.5100232,1971-04-01
BA,.75720203,.81959981,1971-05-01
CAT,4.125,2.4146347,1971-05-01
IBM,16.35,2.262454,1971-05-01
MCD,.65020603,2.0927134,1971-05-01
MMM,7.125,1.1357409,1971-05-01
S&P 500 Index,99.629997,1.4472691,1971-05-01
BA,.66666698,.72160417,1971-06-01
CAT,4.0625,2.3780491,1971-06-01
IBM,15.85,2.1932659,1971-06-01
MCD,.73765397,2.3741679,1971-06-01
MMM,7.609375,1.2129513,1971-06-01
S&P 500 Index,98.699997,1.4337595,1971-06-01
BA,.530864,.57461023,1971-07-01
CAT,4.0625,2.3780491,1971-07-01
IBM,14.5625,2.0151062,1971-07-01
MCD,.66666698,2.1456935,1971-07-01
MMM,7.203125,1.1481942,1971-07-01
S&P 500 Index,95.580002,1.388437,1971-07-01
BA,.51851898,.56124789,1971-08-01
CAT,4.489583,2.6280491,1971-08-01
