name,close,index,date
BAC,1.421875,1,1980-03-01
JPM,5.166667,1,1980-03-01
S&P 500 Index,102.09,1,1980-03-01
BAC,1.6875,1.1868132,1980-04-01
JPM,5.4074068,1.0465949,1980-04-01
S&P 500 Index,106.29,1.0411402,1980-04-01
BAC,1.796875,1.2637362,1980-05-01
JPM,5.7962961,1.1218637,1980-05-01
S&P 500 Index,111.24,1.0896268,1980-05-01
BAC,1.84375,1.2967033,1980-06-01
JPM,5.9259262,1.1469533,1980-06-01
S&P 500 Index,114.24,1.1190127,1980-06-01
BAC,1.9375,1.3626374,1980-07-01
JPM,6.2037039,1.2007169,1980-07-01
S&P 500 Index,121.67,1.1917915,1980-07-01
BAC,1.890625,1.3296703,1980-08-01
JPM,6.0740738,1.1756271,1980-08-01
S&P 500 Index,122.38,1.1987462,1980-08-01
BAC,1.65625,1.1648352,1980-09-01
JPM,5.8703699,1.1362005,1980-09-01
S&P 500 Index,125.46,1.2289157,1980-09-01
BAC,1.640625,1.1538461,1980-10-01
JPM,6.0925932,1.1792115,1980-10-01
S&P 500 Index,127.47,1.2486042,1980-10-01
BAC,1.640625,1.1538461,1980-11-01
JPM,5.833333,1.1290321,1980-11-01
S&P 500 Index,140.52,1.3764327,1980-11-01
BAC,1.6875,1.1868132,1980-12-01
JPM,6.314815,1.2222222,1980-12-01
S&P 500 Index,135.75999,1.329807,1980-12-01
BAC,1.6875,1.1868132,1981-01-01
JPM,6.7962961,1.315412,1981-01-01
S&P 500 Index,129.55,1.2689785,1981-01-01
BAC,1.859375,1.3076923,1981-02-01
JPM,7.481482,1.4480287,1981-02-01
S&P 500 Index,131.27,1.2858263,1981-02-01
BAC,2.0625,1.4505495,1981-03-01
JPM,7.8703699,1.5232973,1981-03-01
S&P 500 Index,136,1.332158,1981-03-01
BAC,2.03125,1.4285715,1981-04-01
JPM,8.0740738,1.5627239,1981-04-01
S&P 500 Index,132.81,1.3009109,1981-04-01
BAC,1.90625,1.3406594,1981-05-01
JPM,8.5185184,1.6487454,1981-05-01
S&P 500 Index,132.59,1.298756,1981-05-01
BAC,2.046875,1.4395604,1981-06-01
JPM,8.5555553,1.6559138,1981-06-01
S&P 500 Index,131.21001,1.2852386,1981-06-01
BAC,1.8125,1.2747253,1981-07-01
JPM,7.9259262,1.5340501,1981-07-01
S&P 500 Index,130.92,1.2823979,1981-07-01
BAC,1.6875,1.1868132,1981-08-01
JPM,7.6481481,1.4802866,1981-08-01
S&P 500 Index,122.79,1.2027624,1981-08-01
BAC,1.6875,1.1868132,1981-09-01
JPM,7.314815,1.4157705,1981-09-01
S&P 500 Index,116.18,1.1380155,1981-09-01
BAC,1.796875,1.2637362,1981-10-01
JPM,8.2777777,1.6021504,1981-10-01
S&P 500 Index,121.89,1.1939466,1981-10-01
BAC,1.90625,1.3406594,1981-11-01
JPM,8.2407408,1.594982,1981-11-01
S&P 500 Index,126.35,1.2376335,1981-11-01
BAC,1.859375,1.3076923,1981-12-01
JPM,8.0740738,1.5627239,1981-12-01
S&P 500 Index,122.55,1.2004114,1981-12-01
BAC,1.875,1.3186814,1982-01-01
JPM,7.4259262,1.437276,1982-01-01
S&P 500 Index,120.4,1.1793516,1982-01-01
BAC,1.828125,1.2857143,1982-02-01
JPM,8.1851854,1.5842294,1982-02-01
S&P 500 Index,113.11,1.107944,1982-02-01
BAC,1.71875,1.2087913,1982-03-01
JPM,7.481482,1.4480287,1982-03-01
S&P 500 Index,111.96,1.0966794,1982-03-01
BAC,1.765625,1.2417582,1982-04-01
JPM,7.6388888,1.4784945,1982-04-01
S&P 500 Index,116.44,1.1405623,1982-04-01
BAC,1.65625,1.1648352,1982-05-01
JPM,7.1111112,1.376344,1982-05-01
S&P 500 Index,111.88,1.0958958,1982-05-01
BAC,1.59375,1.1208792,1982-06-01
JPM,6.833333,1.3225805,1982-06-01
S&P 500 Index,109.61,1.0736605,1982-06-01
BAC,1.5,1.0549451,1982-07-01
JPM,6.166667,1.1935483,1982-07-01
S&P 500 Index,107.09,1.0489764,1982-07-01
BAC,1.65625,1.1648352,1982-08-01
JPM,7.0555549,1.3655912,1982-08-01
S&P 500 Index,119.51,1.1706338,1982-08-01
BAC,1.84375,1.2967033,1982-09-01
JPM,8.0277777,1.5537633,1982-09-01
S&P 500 Index,120.42,1.1795474,1982-09-01
BAC,2.4375,1.7142857,1982-10-01
JPM,9.083333,1.7580644,1982-10-01
S&P 500 Index,133.72,1.3098247,1982-10-01
BAC,2.3125,1.6263736,1982-11-01
JPM,9.3611107,1.8118278,1982-11-01
S&P 500 Index,138.53,1.35694,1982-11-01
BAC,2.34375,1.6483517,1982-12-01
JPM,9,1.7419354,1982-12-01
S&P 500 Index,140.64,1.3776081,1982-12-01
BAC,2.4375,1.7142857,1983-01-01
JPM,9.666667,1.8709677,1983-01-01
S&P 500 Index,145.3,1.423254,1983-01-01
BAC,2.71875,1.9120879,1983-02-01
JPM,9.916667,1.9193548,1983-02-01
S&P 500 Index,148.06,1.450289,1983-02-01
BAC,2.9375,2.0659342,1983-03-01
JPM,10.694445,2.0698924,1983-03-01
S&P 500 Index,152.96001,1.4982859,1983-03-01
BAC,3.25,2.2857144,1983-04-01
JPM,12.222222,2.3655913,1983-04-01
S&P 500 Index,164.42999,1.6106377,1983-04-01
BAC,3.28125,2.3076923,1983-05-01
JPM,11.666667,2.2580645,1983-05-01
S&P 500 Index,162.39,1.5906553,1983-05-01
BAC,3.28125,2.3076923,1983-06-01
JPM,10.555555,2.0430105,1983-06-01
S&P 500 Index,167.64,1.6420805,1983-06-01
BAC,3.25,2.2857144,1983-07-01
JPM,10.583333,2.0483868,1983-07-01
S&P 500 Index,162.56,1.5923206,1983-07-01
BAC,3.359375,2.3626373,1983-08-01
JPM,10.472222,2.0268817,1983-08-01
S&P 500 Index,164.39999,1.6103438,1983-08-01
BAC,3.25,2.2857144,1983-09-01
JPM,9.1944447,1.7795699,1983-09-01
S&P 500 Index,166.07001,1.6267021,1983-09-01
BAC,2.984375,2.098901,1983-10-01
JPM,9.0277777,1.7473117,1983-10-01
S&P 500 Index,163.55,1.6020179,1983-10-01
BAC,3.15625,2.2197802,1983-11-01
JPM,10.416667,2.016129,1983-11-01
S&P 500 Index,166.39999,1.6299343,1983-11-01
BAC,3.421875,2.4065933,1983-12-01
JPM,9.7777796,1.8924733,1983-12-01
S&P 500 Index,164.92999,1.6155353,1983-12-01
BAC,3.46875,2.4395604,1984-01-01
JPM,11.222222,2.1720428,1984-01-01
S&P 500 Index,163.41,1.6006466,1984-01-01
BAC,3.203125,2.2527473,1984-02-01
JPM,10.722222,2.0752687,1984-02-01
S&P 500 Index,157.06,1.5384465,1984-02-01
BAC,3.15625,2.2197802,1984-03-01
JPM,10.083333,1.9516127,1984-03-01
S&P 500 Index,159.17999,1.5592124,1984-03-01
BAC,3.125,2.1978023,1984-04-01
JPM,10.541667,2.0403225,1984-04-01
S&P 500 Index,160.05,1.5677345,1984-04-01
BAC,2.90625,2.043956,1984-05-01
JPM,8.041667,1.5564516,1984-05-01
S&P 500 Index,150.55,1.4746792,1984-05-01
BAC,3,2.1098902,1984-06-01
JPM,8,1.5483871,1984-06-01
S&P 500 Index,153.17999,1.5004407,1984-06-01
BAC,3.109375,2.1868131,1984-07-01
JPM,8.833333,1.7096772,1984-07-01
S&P 500 Index,150.66,1.4757568,1984-07-01
BAC,3.59375,2.5274725,1984-08-01
JPM,9.166667,1.7741935,1984-08-01
S&P 500 Index,166.67999,1.6326771,1984-08-01
BAC,3.71875,2.6153846,1984-09-01
JPM,10.166667,1.9677418,1984-09-01
S&P 500 Index,166.10001,1.6269959,1984-09-01
BAC,4.140625,2.9120879,1984-10-01
JPM,10,1.9354837,1984-10-01
S&P 500 Index,166.09,1.6268978,1984-10-01
BAC,3.9375,2.7692308,1984-11-01
JPM,10.708333,2.0725803,1984-11-01
S&P 500 Index,163.58,1.6023117,1984-11-01
BAC,4.484375,3.1538463,1984-12-01
JPM,11.5,2.2258062,1984-12-01
S&P 500 Index,167.24001,1.6381625,1984-12-01
BAC,4.6875,3.2967033,1985-01-01
JPM,12.5,2.4193547,1985-01-01
S&P 500 Index,179.63,1.759526,1985-01-01
BAC,4.46875,3.1428571,1985-02-01
JPM,13.125,2.5403225,1985-02-01
S&P 500 Index,181.17999,1.7747086,1985-02-01
BAC,4.59375,3.2307692,1985-03-01
JPM,12.5,2.4193547,1985-03-01
S&P 500 Index,180.66,1.7696152,1985-03-01
BAC,4.96875,3.4945054,1985-04-01
JPM,12.625,2.4435482,1985-04-01
S&P 500 Index,179.83,1.7614851,1985-04-01
BAC,5.1875,3.6483517,1985-05-01
JPM,13.791667,2.6693547,1985-05-01
S&P 500 Index,189.55,1.8566952,1985-05-01
BAC,5.4375,3.8241758,1985-06-01
JPM,13.75,2.6612902,1985-06-01
S&P 500 Index,191.85001,1.8792243,1985-06-01
BAC,5.15625,3.6263735,1985-07-01
JPM,13.625,2.6370966,1985-07-01
S&P 500 Index,190.92,1.8701147,1985-07-01
BAC,4.71875,3.3186812,1985-08-01
JPM,13.333333,2.5806448,1985-08-01
S&P 500 Index,188.63,1.8476835,1985-08-01
BAC,4.390625,3.0879121,1985-09-01
JPM,11.166667,2.1612902,1985-09-01
S&P 500 Index,182.08,1.7835244,1985-09-01
BAC,4.890625,3.4395604,1985-10-01
JPM,12.958333,2.5080643,1985-10-01
S&P 500 Index,189.82001,1.85934,1985-10-01
BAC,5.203125,3.6593406,1985-11-01
JPM,13.833333,2.6774192,1985-11-01
S&P 500 Index,202.17,1.9803115,1985-11-01
BAC,5.65625,3.9780219,1985-12-01
JPM,15.125,2.9274192,1985-12-01
S&P 500 Index,211.28,2.0695465,1985-12-01
BAC,5.40625,3.8021977,1986-01-01
JPM,14.75,2.8548386,1986-01-01
S&P 500 Index,211.78,2.0744443,1986-01-01
BAC,6.421875,4.5164833,1986-02-01
JPM,16,3.0967741,1986-02-01
S&P 500 Index,226.92,2.2227447,1986-02-01
BAC,6.1875,4.3516483,1986-03-01
JPM,18.208334,3.5241935,1986-03-01
S&P 500 Index,238.89999,2.3400922,1986-03-01
BAC,6.6875,4.7032967,1986-04-01
JPM,17.75,3.4354837,1986-04-01
S&P 500 Index,235.52,2.3069842,1986-04-01
BAC,6.9375,4.8791208,1986-05-01
JPM,17.791666,3.443548,1986-05-01
S&P 500 Index,247.35001,2.4228623,1986-05-01
BAC,6.75,4.7472529,1986-06-01
JPM,17.083334,3.3064516,1986-06-01
S&P 500 Index,250.84,2.4570477,1986-06-01
BAC,5.953125,4.1868134,1986-07-01
JPM,14.625,2.8306451,1986-07-01
S&P 500 Index,236.12,2.3128612,1986-07-01
