name,close,index,date
BA,.923868,1,1962-01-01
CAT,1.708333,1,1962-01-01
S&P 500 Index,68.839996,1,1962-01-01
BA,.882716,.95545685,1962-02-01
CAT,1.682292,.98475647,1962-02-01
S&P 500 Index,69.959999,1.0162697,1962-02-01
BA,.82510298,.89309621,1962-03-01
CAT,1.703125,.9969514,1962-03-01
S&P 500 Index,69.550003,1.0103139,1962-03-01
BA,.74074101,.80178231,1962-04-01
CAT,1.479167,.86585402,1962-04-01
S&P 500 Index,65.239998,.94770485,1962-04-01
BA,.71193397,.77060139,1962-05-01
CAT,1.432292,.83841497,1962-05-01
S&P 500 Index,59.630001,.86621159,1962-05-01
BA,.67078203,.7260583,1962-06-01
CAT,1.328125,.77743918,1962-06-01
S&P 500 Index,54.75,.79532254,1962-06-01
BA,.67489702,.73051238,1962-07-01
CAT,1.322917,.77439058,1962-07-01
S&P 500 Index,58.23,.84587455,1962-07-01
BA,.66666698,.72160417,1962-08-01
CAT,1.463542,.85670769,1962-08-01
S&P 500 Index,59.119999,.85880303,1962-08-01
BA,.62551397,.67705989,1962-09-01
CAT,1.3125,.76829284,1962-09-01
S&P 500 Index,56.27,.81740272,1962-09-01
BA,.62963003,.68151516,1962-10-01
CAT,1.369792,.80182958,1962-10-01
S&P 500 Index,56.52,.82103431,1962-10-01
BA,.63991803,.69265091,1962-11-01
CAT,1.505208,.88109756,1962-11-01
S&P 500 Index,62.259998,.90441608,1962-11-01
BA,.61111099,.66147,1962-12-01
CAT,1.557292,.91158575,1962-12-01
S&P 500 Index,63.099998,.91661829,1962-12-01
BA,.64403301,.69710499,1963-01-01
CAT,1.604167,.93902475,1963-01-01
S&P 500 Index,66.199997,.96165019,1963-01-01
BA,.62963003,.68151516,1963-02-01
CAT,1.458333,.8536585,1963-02-01
S&P 500 Index,64.290001,.93390477,1963-02-01
BA,.596708,.64588016,1963-03-01
CAT,1.520833,.89024389,1963-03-01
S&P 500 Index,66.57,.96702504,1963-03-01
BA,.60905302,.65924245,1963-04-01
CAT,1.552083,.90853655,1963-04-01
S&P 500 Index,69.800003,1.0139455,1963-04-01
BA,.60493797,.65478832,1963-05-01
CAT,1.848958,1.0823171,1963-05-01
S&P 500 Index,70.800003,1.0284719,1963-05-01
BA,.58230501,.63029027,1963-06-01
CAT,1.796875,1.0518295,1963-06-01
S&P 500 Index,69.370003,1.0076991,1963-06-01
BA,.541152,.58574599,1963-07-01
CAT,1.807292,1.0579273,1963-07-01
S&P 500 Index,69.129997,1.0042127,1963-07-01
BA,.576132,.62360859,1963-08-01
CAT,1.869792,1.0945126,1963-08-01
S&P 500 Index,72.5,1.0531669,1963-08-01
BA,.55144,.59688181,1963-09-01
CAT,1.802083,1.0548781,1963-09-01
S&P 500 Index,71.699997,1.0415456,1963-09-01
BA,.55967098,.60579109,1963-10-01
CAT,1.9375,1.1341466,1963-10-01
S&P 500 Index,74.010002,1.0751017,1963-10-01
BA,.62963003,.68151516,1963-11-01
CAT,1.963542,1.1493907,1963-11-01
S&P 500 Index,73.230003,1.0637711,1963-11-01
BA,.59053499,.63919842,1963-12-01
CAT,2,1.1707319,1963-12-01
S&P 500 Index,75.019997,1.0897734,1963-12-01
BA,.65432101,.70824081,1964-01-01
CAT,2.182292,1.2774395,1964-01-01
S&P 500 Index,77.040001,1.1191169,1964-01-01
BA,.693416,.75055742,1964-02-01
CAT,2.260417,1.3231711,1964-02-01
S&P 500 Index,77.800003,1.130157,1964-02-01
BA,.72222197,.78173721,1964-03-01
CAT,2.5625,1.5000002,1964-03-01
S&P 500 Index,78.980003,1.1472982,1964-03-01
BA,.70576102,.76391977,1964-04-01
CAT,2.5,1.4634149,1964-04-01
S&P 500 Index,79.459999,1.1542708,1964-04-01
BA,.80864203,.87527877,1964-05-01
CAT,2.578125,1.5091466,1964-05-01
S&P 500 Index,80.370003,1.1674899,1964-05-01
BA,.87448603,.9465487,1964-06-01
CAT,2.734375,1.60061,1964-06-01
S&P 500 Index,81.690002,1.1866648,1964-06-01
BA,.91975302,.99554592,1964-07-01
CAT,2.875,1.6829271,1964-07-01
S&P 500 Index,83.18,1.2083092,1964-07-01
BA,.99177003,1.0734975,1964-08-01
CAT,2.8125,1.6463418,1964-08-01
S&P 500 Index,81.830002,1.1886985,1964-08-01
BA,1.104938,1.1959913,1964-09-01
CAT,2.958333,1.7317075,1964-09-01
S&P 500 Index,84.18,1.2228357,1964-09-01
BA,1.006173,1.0890874,1964-10-01
CAT,3.145833,1.8414636,1964-10-01
S&P 500 Index,84.860001,1.2327136,1964-10-01
BA,1.082304,1.171492,1964-11-01
CAT,3.5,2.0487809,1964-11-01
S&P 500 Index,84.419998,1.2263219,1964-11-01
BA,1.133745,1.227172,1964-12-01
CAT,3.4375,2.0121956,1964-12-01
S&P 500 Index,84.75,1.2311157,1964-12-01
BA,1.088477,1.1781738,1965-01-01
CAT,3.385417,1.9817079,1965-01-01
S&P 500 Index,87.559998,1.271935,1965-01-01
BA,1.1172841,1.2093546,1965-02-01
CAT,3.6875,2.1585369,1965-02-01
S&P 500 Index,87.43,1.2700466,1965-02-01
BA,1.032922,1.1180407,1965-03-01
CAT,3.395833,1.987805,1965-03-01
S&P 500 Index,86.160004,1.251598,1965-03-01
BA,1.22428,1.3251677,1965-04-01
CAT,3.8125,2.2317078,1965-04-01
S&P 500 Index,89.110001,1.294451,1965-04-01
BA,1.201646,1.3006685,1965-05-01
CAT,3.6875,2.1585369,1965-05-01
S&P 500 Index,88.419998,1.2844276,1965-05-01
BA,1.100823,1.1915371,1965-06-01
CAT,3.583333,2.0975611,1965-06-01
S&P 500 Index,84.120003,1.2219641,1965-06-01
BA,1.269547,1.3741649,1965-07-01
CAT,3.4375,2.0121956,1965-07-01
S&P 500 Index,85.25,1.2383789,1965-07-01
BA,1.3621401,1.4743881,1965-08-01
CAT,3.65625,2.1402442,1965-08-01
S&P 500 Index,87.169998,1.2662697,1965-08-01
BA,1.646091,1.7817383,1965-09-01
CAT,3.895833,2.280488,1965-09-01
S&P 500 Index,89.959999,1.3067985,1965-09-01
BA,2.0349791,2.202673,1965-10-01
CAT,4.125,2.4146347,1965-10-01
S&P 500 Index,92.419998,1.3425335,1965-10-01
BA,2.302469,2.4922056,1965-11-01
CAT,4.427083,2.5914638,1965-11-01
S&P 500 Index,91.610001,1.330767,1965-11-01
BA,2.1522629,2.3296218,1965-12-01
CAT,4.145833,2.4268296,1965-12-01
S&P 500 Index,92.43,1.3426788,1965-12-01
BA,2.7448561,2.9710479,1966-01-01
CAT,4.104167,2.4024396,1966-01-01
S&P 500 Index,92.879997,1.3492156,1966-01-01
BA,2.7530861,2.9799562,1966-02-01
CAT,3.802083,2.22561,1966-02-01
S&P 500 Index,91.220001,1.3251017,1966-02-01
BA,2.5288069,2.737195,1966-03-01
CAT,3.885417,2.2743909,1966-03-01
S&P 500 Index,89.230003,1.2961942,1966-03-01
BA,2.54321,2.752785,1966-04-01
CAT,3.458333,2.0243905,1966-04-01
S&P 500 Index,91.059998,1.3227775,1966-04-01
BA,2.2345681,2.4187093,1966-05-01
CAT,3.5625,2.0853662,1966-05-01
S&P 500 Index,86.129997,1.2511622,1966-05-01
BA,2.366255,2.5612481,1966-06-01
CAT,3.458333,2.0243905,1966-06-01
S&P 500 Index,84.739998,1.2309704,1966-06-01
BA,1.987654,2.151448,1966-07-01
CAT,3.09375,1.8109759,1966-07-01
S&P 500 Index,83.599998,1.2144103,1966-07-01
BA,1.777778,1.9242771,1966-08-01
CAT,3,1.7560979,1966-08-01
S&P 500 Index,77.099998,1.1199884,1966-08-01
BA,1.6790119,1.8173721,1966-09-01
CAT,2.854167,1.6707323,1966-09-01
S&P 500 Index,76.559998,1.1121441,1966-09-01
BA,1.5967081,1.7282859,1966-10-01
CAT,2.916667,1.7073176,1966-10-01
S&P 500 Index,80.199997,1.1650203,1966-10-01
BA,2.1069961,2.2806246,1966-11-01
CAT,3.083333,1.8048782,1966-11-01
S&P 500 Index,80.449997,1.1686519,1966-11-01
BA,2.1604941,2.3385313,1966-12-01
CAT,2.916667,1.7073176,1966-12-01
S&P 500 Index,80.330002,1.1669089,1966-12-01
BA,2.3086419,2.4988873,1967-01-01
CAT,3.333333,1.9512197,1967-01-01
S&P 500 Index,86.610001,1.2581348,1967-01-01
BA,2.4197531,2.6191545,1967-02-01
CAT,3.020833,1.7682928,1967-02-01
S&P 500 Index,86.779999,1.2606044,1967-02-01
BA,2.716049,2.939867,1967-03-01
CAT,3.666667,2.146342,1967-03-01
S&P 500 Index,90.199997,1.3102847,1967-03-01
BA,3.1481481,3.4075735,1967-04-01
CAT,4.09375,2.3963418,1967-04-01
S&P 500 Index,94.010002,1.3656305,1967-04-01
BA,3.0288069,3.2783978,1967-05-01
CAT,3.770833,2.2073174,1967-05-01
S&P 500 Index,89.080002,1.2940152,1967-05-01
BA,3.4403291,3.7238319,1967-06-01
CAT,3.708333,2.170732,1967-06-01
S&P 500 Index,90.639999,1.3166764,1967-06-01
BA,3.4320991,3.7149236,1967-07-01
CAT,3.947917,2.3109763,1967-07-01
S&P 500 Index,94.75,1.3763801,1967-07-01
BA,3.1604941,3.4209368,1967-08-01
CAT,3.885417,2.2743909,1967-08-01
S&P 500 Index,93.639999,1.3602557,1967-08-01
BA,2.855967,3.091315,1967-09-01
CAT,3.958333,2.3170733,1967-09-01
S&P 500 Index,96.709999,1.4048519,1967-09-01
BA,2.802469,3.0334084,1967-10-01
CAT,3.739583,2.1890247,1967-10-01
S&P 500 Index,93.300003,1.3553168,1967-10-01
BA,3.020576,3.2694888,1967-11-01
CAT,3.5,2.0487809,1967-11-01
S&P 500 Index,94,1.3654853,1967-11-01
BA,2.979424,3.2249455,1967-12-01
CAT,3.614583,2.1158538,1967-12-01
S&P 500 Index,96.470001,1.4013655,1967-12-01
BA,2.5061729,2.7126958,1968-01-01
CAT,3.302083,1.932927,1968-01-01
S&P 500 Index,92.239998,1.3399187,1968-01-01
BA,2.4855969,2.6904242,1968-02-01
CAT,3.0625,1.7926832,1968-02-01
S&P 500 Index,89.360001,1.2980826,1968-02-01
BA,2.2551439,2.4409807,1968-03-01
CAT,3.09375,1.8109759,1968-03-01
S&P 500 Index,90.199997,1.3102847,1968-03-01
BA,2.5555561,2.7661486,1968-04-01
CAT,3.541667,2.0731714,1968-04-01
S&P 500 Index,97.459999,1.4157467,1968-04-01
BA,2.2880659,2.4766157,1968-05-01
CAT,3.354167,1.9634151,1968-05-01
S&P 500 Index,98.68,1.4334689,1968-05-01
BA,2.0905349,2.2628069,1968-06-01
CAT,3.1875,1.865854,1968-06-01
S&P 500 Index,99.580002,1.4465429,1968-06-01
BA,1.995885,2.1603572,1968-07-01
CAT,3.104167,1.8170737,1968-07-01
S&P 500 Index,97.739998,1.4198141,1968-07-01
BA,1.884774,2.0400901,1968-08-01
CAT,3.541667,2.0731714,1968-08-01
S&P 500 Index,98.860001,1.4360838,1968-08-01
BA,1.8930039,2.0489984,1968-09-01
CAT,3.822917,2.2378054,1968-09-01
S&P 500 Index,102.67,1.4914294,1968-09-01
BA,1.794239,1.9420946,1968-10-01
CAT,4,2.3414638,1968-10-01
S&P 500 Index,103.41,1.5021791,1968-10-01
BA,1.954733,2.1158142,1968-11-01
CAT,3.989583,2.335366,1968-11-01
S&P 500 Index,108.37,1.5742302,1968-11-01
BA,1.8724281,2.0267267,1968-12-01
CAT,3.635417,2.1280494,1968-12-01
S&P 500 Index,103.86,1.508716,1968-12-01
BA,1.942387,2.1024508,1969-01-01
CAT,3.916667,2.2926836,1969-01-01
S&P 500 Index,103.01,1.4963685,1969-01-01
BA,1.73251,1.8752787,1969-02-01
CAT,3.760417,2.20122,1969-02-01
S&P 500 Index,98.129997,1.4254794,1969-02-01
BA,1.674897,1.8129181,1969-03-01
CAT,4.145833,2.4268296,1969-03-01
S&P 500 Index,101.51,1.4745789,1969-03-01
BA,1.5555561,1.6837428,1969-04-01
CAT,4.34375,2.5426834,1969-04-01
S&P 500 Index,103.69,1.5062464,1969-04-01
BA,1.44856,1.5679296,1969-05-01
CAT,4.46875,2.6158543,1969-05-01
S&P 500 Index,103.46,1.5029054,1969-05-01
BA,1.4032919,1.5189313,1969-06-01
CAT,4.208333,2.4634149,1969-06-01
S&P 500 Index,97.709999,1.4193783,1969-06-01
BA,1.1275719,1.2204903,1969-07-01
CAT,3.854167,2.2560983,1969-07-01
S&P 500 Index,91.830002,1.3339629,1969-07-01
BA,1.230453,1.3318493,1969-08-01
CAT,3.84375,2.2500005,1969-08-01
S&P 500 Index,95.510002,1.3874202,1969-08-01
BA,1.045267,1.131403,1969-09-01
CAT,3.697917,2.1646347,1969-09-01
S&P 500 Index,93.120003,1.352702,1969-09-01
BA,1.045267,1.131403,1969-10-01
CAT,3.666667,2.146342,1969-10-01
S&P 500 Index,97.120003,1.4108077,1969-10-01
BA,1.024691,1.1091313,1969-11-01
CAT,3.447917,2.0182931,1969-11-01
S&P 500 Index,93.809998,1.3627251,1969-11-01
BA,.92592603,1.0022277,1969-12-01
CAT,3.541667,2.0731714,1969-12-01
S&P 500 Index,92.059998,1.3373039,1969-12-01
BA,.75720203,.81959981,1970-01-01
CAT,3.03125,1.7743906,1970-01-01
MMM,6.273438,1,1970-01-01
S&P 500 Index,85.019997,1.2350378,1970-01-01
BA,.82304502,.8908686,1970-02-01
CAT,3.3125,1.9390248,1970-02-01
MMM,6.8125,1.0859277,1970-02-01
S&P 500 Index,89.5,1.3001163,1970-02-01
BA,.74897099,.81069046,1970-03-01
CAT,3.65625,2.1402442,1970-03-01
MMM,6.53125,1.0410959,1970-03-01
S&P 500 Index,89.629997,1.3020047,1970-03-01
BA,.65020603,.70378673,1970-04-01
CAT,3.197917,1.8719517,1970-04-01
MMM,5.859375,.93399745,1970-04-01
S&P 500 Index,81.519997,1.1841953,1970-04-01
BA,.60082299,.65033424,1970-05-01
CAT,2.916667,1.7073176,1970-05-01
MMM,5.28125,.84184301,1970-05-01
S&P 500 Index,76.550003,1.1119989,1970-05-01
BA,.41152301,.44543487,1970-06-01
CAT,2.885417,1.6890249,1970-06-01
MMM,4.71875,.75217927,1970-06-01
S&P 500 Index,72.720001,1.0563626,1970-06-01
BA,.444444,.48106873,1970-07-01
CAT,2.729167,1.5975615,1970-07-01
MMM,5.046875,.80448312,1970-07-01
S&P 500 Index,78.050003,1.1337886,1970-07-01
BA,.530864,.57461023,1970-08-01
CAT,2.78125,1.6280491,1970-08-01
MMM,5.492188,.875467,1970-08-01
S&P 500 Index,81.519997,1.1841953,1970-08-01
BA,.55967098,.60579109,1970-09-01
CAT,2.96875,1.7378052,1970-09-01
MMM,5.523438,.88044834,1970-09-01
S&P 500 Index,84.300003,1.2245789,1970-09-01
BA,.477366,.51670367,1970-10-01
CAT,2.875,1.6829271,1970-10-01
MMM,5.53125,.8816936,1970-10-01
S&P 500 Index,83.25,1.209326,1970-10-01
BA,.48148099,.52115774,1970-11-01
CAT,3.229167,1.8902445,1970-11-01
MMM,5.617188,.8953923,1970-11-01
S&P 500 Index,87.199997,1.2667054,1970-11-01
BA,.469136,.50779551,1970-12-01
CAT,3.5625,2.0853662,1970-12-01
MMM,6.1875,.9863013,1970-12-01
S&P 500 Index,92.150002,1.3386114,1970-12-01
BA,.64197499,.69487739,1971-01-01
CAT,3.96875,2.3231711,1971-01-01
MMM,6.1875,.9863013,1971-01-01
S&P 500 Index,95.879997,1.392795,1971-01-01
BA,.699588,.75723803,1971-02-01
CAT,3.90625,2.2865858,1971-02-01
MMM,6.484375,1.0336238,1971-02-01
S&P 500 Index,96.75,1.4054329,1971-02-01
BA,.683128,.73942167,1971-03-01
CAT,3.96875,2.3231711,1971-03-01
MMM,7.046875,1.1232876,1971-03-01
S&P 500 Index,100.31,1.457147,1971-03-01
BA,.76954699,.83296204,1971-04-01
CAT,4.458333,2.6097565,1971-04-01
MMM,7.15625,1.1407222,1971-04-01
S&P 500 Index,103.95,1.5100232,1971-04-01
BA,.75720203,.81959981,1971-05-01
CAT,4.125,2.4146347,1971-05-01
MMM,7.125,1.1357409,1971-05-01
S&P 500 Index,99.629997,1.4472691,1971-05-01
BA,.66666698,.72160417,1971-06-01
CAT,4.0625,2.3780491,1971-06-01
MMM,7.609375,1.2129513,1971-06-01
S&P 500 Index,98.699997,1.4337595,1971-06-01
BA,.530864,.57461023,1971-07-01
CAT,4.0625,2.3780491,1971-07-01
MMM,7.203125,1.1481942,1971-07-01
S&P 500 Index,95.580002,1.388437,1971-07-01
BA,.51851898,.56124789,1971-08-01
CAT,4.489583,2.6280491,1971-08-01
MMM,7.460938,1.1892902,1971-08-01
S&P 500 Index,99.029999,1.4385532,1971-08-01
BA,.49382699,.53452116,1971-09-01
CAT,4.239583,2.4817076,1971-09-01
MMM,7.648438,1.2191781,1971-09-01
S&P 500 Index,98.339996,1.42853,1971-09-01
BA,.50617301,.54788458,1971-10-01
CAT,3.677083,2.1524394,1971-10-01
MMM,7.5,1.1955167,1971-10-01
S&P 500 Index,94.230003,1.3688264,1971-10-01
BA,.497942,.53897524,1971-11-01
CAT,3.479167,2.036586,1971-11-01
MMM,7.625,1.2154419,1971-11-01
S&P 500 Index,93.989998,1.36534,1971-11-01
BA,.61316901,.66369766,1971-12-01
CAT,3.9375,2.3048785,1971-12-01
MMM,8.4375,1.3449563,1971-12-01
S&P 500 Index,102.09,1.4830041,1971-12-01
BA,.83539099,.90423197,1972-01-01
CAT,4.104167,2.4024396,1972-01-01
MMM,8.390625,1.3374844,1972-01-01
S&P 500 Index,103.94,1.509878,1972-01-01
BA,.79835403,.86414295,1972-02-01
CAT,4.041667,2.3658543,1972-02-01
MMM,8.796875,1.4022415,1972-02-01
S&P 500 Index,106.57,1.5480826,1972-02-01
BA,.786008,.85077953,1972-03-01
CAT,4.479167,2.6219518,1972-03-01
MMM,9.2109385,1.4682441,1972-03-01
S&P 500 Index,107.2,1.5572342,1972-03-01
BA,.73662502,.7973271,1972-04-01
CAT,4.520833,2.6463418,1972-04-01
MMM,8.8125,1.4047321,1972-04-01
S&P 500 Index,107.67,1.5640616,1972-04-01
BA,.744856,.80623639,1972-05-01
CAT,4.729167,2.7682934,1972-05-01
MMM,9.5859385,1.5280199,1972-05-01
S&P 500 Index,109.53,1.5910808,1972-05-01
BA,.68724298,.74387574,1972-06-01
CAT,4.916667,2.8780496,1972-06-01
MMM,9.53125,1.5193025,1972-06-01
S&P 500 Index,107.14,1.5563626,1972-06-01
BA,.69547302,.75278395,1972-07-01
CAT,5.114583,2.9939029,1972-07-01
MMM,10.3125,1.6438355,1972-07-01
S&P 500 Index,107.39,1.5599942,1972-07-01
BA,.74897099,.81069046,1972-08-01
CAT,5.4375,3.1829274,1972-08-01
MMM,9.984375,1.5915316,1972-08-01
S&P 500 Index,111.09,1.613742,1972-08-01
BA,.75720203,.81959981,1972-09-01
CAT,5.375,3.146342,1972-09-01
MMM,9.984375,1.5915316,1972-09-01
S&P 500 Index,110.55,1.6058979,1972-09-01
BA,.72016501,.77951074,1972-10-01
CAT,5.385417,3.1524398,1972-10-01
MMM,10.375,1.6537981,1972-10-01
S&P 500 Index,111.58,1.6208601,1972-10-01
BA,.82716,.89532268,1972-11-01
CAT,5.677083,3.3231711,1972-11-01
MMM,10.609375,1.6911581,1972-11-01
S&P 500 Index,116.67,1.6947995,1972-11-01
BA,.82304502,.8908686,1972-12-01
CAT,5.541667,3.2439032,1972-12-01
MMM,10.703125,1.706102,1972-12-01
S&P 500 Index,118.05,1.7148461,1972-12-01
BA,.76954699,.83296204,1973-01-01
CAT,5.291667,3.0975618,1973-01-01
MMM,10.53125,1.6787047,1973-01-01
S&P 500 Index,116.03,1.6855026,1973-01-01
BA,.71193397,.77060139,1973-02-01
CAT,5.364583,3.1402442,1973-02-01
MMM,10.125,1.6139476,1973-02-01
S&P 500 Index,111.68,1.6223127,1973-02-01
BA,.679012,.73496646,1973-03-01
CAT,5.25,3.0731714,1973-03-01
MMM,10.5625,1.683686,1973-03-01
S&P 500 Index,111.52,1.6199884,1973-03-01
BA,.59259301,.64142609,1973-04-01
CAT,5.1875,3.036586,1973-04-01
MMM,9.765625,1.5566624,1973-04-01
S&P 500 Index,106.97,1.5538932,1973-04-01
BA,.62139899,.67260581,1973-05-01
CAT,4.9375,2.8902445,1973-05-01
MMM,10.34375,1.6488168,1973-05-01
S&P 500 Index,104.95,1.5245497,1973-05-01
BA,.56378597,.61024517,1973-06-01
CAT,4.84375,2.8353665,1973-06-01
MMM,10.46875,1.6687421,1973-06-01
S&P 500 Index,104.26,1.5145266,1973-06-01
BA,.63786,.69042331,1973-07-01
CAT,5.177083,3.0304883,1973-07-01
MMM,10.6875,1.7036114,1973-07-01
S&P 500 Index,108.22,1.5720513,1973-07-01
BA,.54321003,.58797365,1973-08-01
CAT,5.354167,3.1341472,1973-08-01
MMM,10.75,1.7135739,1973-08-01
S&P 500 Index,104.25,1.5143813,1973-08-01
BA,.63374501,.68596923,1973-09-01
CAT,5.895833,3.45122,1973-09-01
MMM,11.1875,1.7833124,1973-09-01
S&P 500 Index,108.43,1.5751017,1973-09-01
BA,.62963003,.68151516,1973-10-01
CAT,5.958333,3.4878054,1973-10-01
MMM,10.8125,1.7235366,1973-10-01
S&P 500 Index,108.29,1.573068,1973-10-01
BA,.47325099,.51224959,1973-11-01
CAT,5.552083,3.2500005,1973-11-01
MMM,9.765625,1.5566624,1973-11-01
S&P 500 Index,95.959999,1.393957,1973-11-01
BA,.40740699,.44097966,1973-12-01
CAT,5.583333,3.2682931,1973-12-01
MMM,9.75,1.5541717,1973-12-01
S&P 500 Index,97.550003,1.4170542,1973-12-01
BA,.469136,.50779551,1974-01-01
CAT,4.989583,2.920732,1974-01-01
MMM,9.5,1.5143212,1974-01-01
S&P 500 Index,96.57,1.4028182,1974-01-01
BA,.50205803,.54343051,1974-02-01
CAT,5.052083,2.9573174,1974-02-01
MMM,9.59375,1.5292652,1974-02-01
S&P 500 Index,96.220001,1.3977339,1974-02-01
BA,.46502101,.50334138,1974-03-01
CAT,4.916667,2.8780496,1974-03-01
MMM,9.28125,1.4794519,1974-03-01
S&P 500 Index,93.980003,1.3651948,1974-03-01
BA,.48148099,.52115774,1974-04-01
CAT,4.885417,2.8597567,1974-04-01
MMM,8.9375,1.4246575,1974-04-01
S&P 500 Index,90.309998,1.3118826,1974-04-01
