Category: All categories

Month,data science jobs: (United States),data science salary: (United States),data science masters: (United States)
2004-01,0,14,16
2004-02,0,0,0
2004-03,13,15,1
2004-04,10,<1,1
2004-05,9,0,1
2004-06,0,0,1
2004-07,1,1,<1
2004-08,0,0,1
2004-09,0,0,<1
2004-10,8,11,0
2004-11,0,<1,0
2004-12,0,<1,0
2005-01,0,0,0
2005-02,0,10,0
2005-03,9,<1,12
2005-04,9,10,<1
2005-05,1,<1,<1
2005-06,13,<1,0
2005-07,1,0,0
2005-08,0,0,10
2005-09,0,7,13
2005-10,10,1,0
2005-11,<1,0,1
2005-12,0,0,0
2006-01,7,<1,0
2006-02,<1,0,0
2006-03,0,0,8
2006-04,8,<1,0
2006-05,0,<1,0
2006-06,0,5,0
2006-07,0,10,<1
2006-08,0,10,<1
2006-09,<1,5,<1
2006-10,0,<1,1
2006-11,0,0,0
2006-12,4,<1,0
2007-01,<1,0,0
2007-02,6,<1,<1
2007-03,0,0,0
2007-04,<1,0,0
2007-05,0,0,0
2007-06,0,<1,0
2007-07,<1,0,0
2007-08,0,0,0
2007-09,<1,3,3
2007-10,4,3,0
2007-11,0,0,0
2007-12,0,0,0
2008-01,2,0,0
2008-02,<1,5,0
2008-03,<1,3,5
2008-04,4,3,0
2008-05,5,0,0
2008-06,<1,0,0
2008-07,<1,<1,0
2008-08,0,0,4
2008-09,5,0,0
2008-10,<1,0,0
2008-11,0,0,<1
2008-12,0,<1,0
2009-01,<1,<1,0
2009-02,0,0,0
2009-03,5,3,0
2009-04,2,0,<1
2009-05,<1,<1,0
2009-06,3,<1,0
2009-07,10,0,0
2009-08,0,0,0
2009-09,4,0,<1
2009-10,4,3,0
2009-11,5,<1,3
2009-12,3,2,0
2010-01,2,<1,<1
2010-02,4,2,<1
2010-03,2,4,<1
2010-04,0,<1,<1
2010-05,0,0,0
2010-06,0,<1,0
2010-07,<1,0,<1
2010-08,2,0,2
2010-09,2,0,<1
2010-10,3,3,0
2010-11,3,0,<1
2010-12,1,0,<1
2011-01,3,<1,0
2011-02,2,2,0
2011-03,5,0,1
2011-04,4,1,0
2011-05,3,2,1
2011-06,1,0,4
2011-07,2,2,0
2011-08,2,2,2
2011-09,2,1,<1
2011-10,4,1,0
2011-11,3,<1,1
2011-12,0,0,1
2012-01,2,2,1
2012-02,3,2,1
2012-03,3,1,0
2012-04,3,2,0
2012-05,1,1,2
2012-06,3,<1,0
2012-07,3,0,1
2012-08,3,2,0
2012-09,3,<1,1
2012-10,3,1,1
2012-11,3,1,2
2012-12,2,3,1
2013-01,2,1,2
2013-02,5,1,3
2013-03,5,0,2
2013-04,7,2,2
2013-05,4,0,3
2013-06,8,3,5
2013-07,4,<1,2
2013-08,6,3,5
2013-09,6,2,6
2013-10,9,4,4
2013-11,9,3,6
2013-12,5,1,5
2014-01,6,4,5
2014-02,8,6,7
2014-03,7,4,8
2014-04,10,5,7
2014-05,10,6,8
2014-06,10,5,11
2014-07,9,3,10
2014-08,13,7,13
2014-09,12,6,11
2014-10,12,6,13
2014-11,11,6,13
2014-12,9,4,12
2015-01,15,6,14
2015-02,13,10,14
2015-03,13,8,15
2015-04,16,8,10
2015-05,16,11,16
2015-06,16,9,16
2015-07,14,8,17
2015-08,21,12,17
2015-09,22,11,20
2015-10,22,11,19
2015-11,20,13,20
2015-12,17,8,15
2016-01,20,13,21
2016-02,21,15,22
2016-03,26,14,21
2016-04,19,15,21
2016-05,24,14,23
2016-06,24,14,27
2016-07,23,13,20
2016-08,20,14,17
2016-09,27,17,22
2016-10,26,12,26
2016-11,27,16,27
2016-12,27,16,26
2017-01,32,20,33
2017-02,31,24,33
2017-03,34,24,31
2017-04,33,21,41
2017-05,35,25,39
2017-06,38,25,34
2017-07,43,24,37
2017-08,37,21,37
2017-09,38,27,37
2017-10,44,29,42
2017-11,41,26,37
2017-12,42,19,37
2018-01,42,25,48
2018-02,41,32,46
2018-03,50,28,41
2018-04,53,31,44
2018-05,49,32,58
2018-06,47,32,45
2018-07,49,37,55
2018-08,56,39,56
2018-09,52,39,56
2018-10,57,37,54
2018-11,57,41,54
2018-12,43,30,52
2019-01,58,38,57
2019-02,59,35,56
2019-03,53,32,54
2019-04,53,40,62
2019-05,65,38,60
2019-06,64,40,63
2019-07,60,42,60
2019-08,62,44,62
2019-09,63,38,60
2019-10,66,41,61
2019-11,56,38,56
2019-12,55,34,50
2020-01,67,39,59
2020-02,62,38,62
2020-03,49,32,47
2020-04,56,33,56
2020-05,57,35,63
2020-06,63,40,59
2020-07,69,38,65
2020-08,67,42,62
2020-09,62,39,56
2020-10,59,42,48
2020-11,53,36,55
2020-12,50,35,53
2021-01,54,36,53
2021-02,54,33,51
2021-03,49,36,49
2021-04,52,40,54
2021-05,55,34,55
2021-06,46,36,45
2021-07,50,40,47
2021-08,54,45,54
2021-09,53,41,53
2021-10,57,46,56
2021-11,58,46,54
2021-12,49,44,52
2022-01,78,66,73
2022-02,76,67,68
2022-03,75,65,74
2022-04,78,68,66
2022-05,74,64,61
2022-06,75,62,66
2022-07,75,61,59
2022-08,82,69,67
2022-09,73,62,64
2022-10,79,64,68
2022-11,71,58,62
2022-12,65,49,58
2023-01,83,59,70
2023-02,80,56,76
2023-03,83,53,70
2023-04,80,58,74
2023-05,82,47,74
2023-06,75,49,67
2023-07,79,50,68
2023-08,85,59,82
2023-09,96,65,83
2023-10,82,52,77
2023-11,75,58,75
2023-12,76,46,78
2024-01,95,50,100
