Category: All categories

Month,data scientist: (United States),data analyst: (United States),data engineer: (United States),software engineer: (United States),computer scientist: (United States)
2004-01,0,8,0,26,6
2004-02,0,6,0,27,1
2004-03,<1,4,1,22,4
2004-04,1,5,2,23,4
2004-05,0,7,4,22,5
2004-06,1,7,1,20,4
2004-07,<1,8,0,25,2
2004-08,0,6,2,25,3
2004-09,<1,5,2,20,5
2004-10,0,4,1,21,2
2004-11,1,8,1,22,3
2004-12,0,5,1,20,2
2005-01,0,5,2,24,4
2005-02,0,5,1,21,4
2005-03,0,5,3,23,3
2005-04,1,5,0,21,4
2005-05,1,5,2,21,3
2005-06,1,4,2,21,2
2005-07,0,6,2,17,3
2005-08,<1,6,1,20,3
2005-09,1,5,1,17,2
2005-10,<1,6,2,21,4
2005-11,1,2,1,21,3
2005-12,0,5,2,14,2
2006-01,0,4,2,21,3
2006-02,1,5,1,18,4
2006-03,1,4,<1,18,3
2006-04,<1,4,1,24,2
2006-05,<1,5,1,19,3
2006-06,0,4,1,19,2
2006-07,0,5,0,17,1
2006-08,<1,3,1,17,3
2006-09,<1,4,1,19,3
2006-10,1,4,<1,16,2
2006-11,0,4,2,18,3
2006-12,<1,3,<1,14,2
2007-01,<1,6,1,20,2
2007-02,1,5,1,16,3
2007-03,1,4,1,17,2
2007-04,<1,4,1,17,2
2007-05,1,4,1,18,2
2007-06,0,5,1,18,2
2007-07,0,5,1,16,1
2007-08,1,6,1,16,2
2007-09,0,4,1,19,3
2007-10,<1,6,1,19,2
2007-11,0,5,1,15,2
2007-12,0,5,1,14,1
2008-01,1,5,1,18,2
2008-02,<1,5,1,17,2
2008-03,<1,6,1,19,2
2008-04,<1,6,1,19,2
2008-05,0,5,1,18,2
2008-06,<1,5,1,18,2
2008-07,<1,6,1,16,2
2008-08,<1,5,1,16,2
2008-09,1,5,1,19,3
2008-10,<1,6,1,17,3
2008-11,<1,5,1,15,3
2008-12,<1,4,1,14,2
2009-01,1,5,1,18,2
2009-02,<1,6,1,18,2
2009-03,<1,5,1,16,3
2009-04,<1,5,1,14,2
2009-05,<1,4,1,16,2
2009-06,<1,6,1,16,2
2009-07,0,6,1,17,2
2009-08,<1,6,1,16,3
2009-09,1,6,2,18,2
2009-10,<1,7,1,18,2
2009-11,<1,5,1,17,2
2009-12,1,5,1,16,3
2010-01,<1,6,1,19,3
2010-02,1,6,1,20,3
2010-03,<1,6,1,19,3
2010-04,1,6,1,18,2
2010-05,<1,6,1,19,3
2010-06,<1,6,1,16,2
2010-07,1,6,1,15,2
2010-08,1,6,1,17,2
2010-09,1,6,1,21,3
2010-10,<1,7,2,19,3
2010-11,1,6,1,19,2
2010-12,<1,4,1,17,3
2011-01,1,6,1,22,2
2011-02,1,7,1,23,2
2011-03,1,7,1,23,3
2011-04,1,6,1,21,2
2011-05,1,7,1,21,2
2011-06,1,7,2,22,2
2011-07,1,7,1,22,2
2011-08,2,7,1,21,2
2011-09,3,7,2,24,3
2011-10,1,8,1,23,3
2011-11,1,7,1,21,3
2011-12,1,6,1,20,2
2012-01,2,6,1,23,2
2012-02,2,7,1,25,3
2012-03,2,7,2,22,2
2012-04,2,7,2,24,3
2012-05,2,7,2,22,2
2012-06,2,8,1,22,2
2012-07,2,7,2,21,2
2012-08,3,8,2,22,2
2012-09,5,8,2,23,3
2012-10,3,8,2,23,3
2012-11,3,7,1,21,2
2012-12,3,7,1,18,2
2013-01,3,8,2,23,2
2013-02,3,8,1,22,3
